ஆப்பிரிக்கா	Africa
பகுப்பு:ஜெய்ப்பூர்	Category:Jaipur
பகுப்பு:ஜெய்ப்பூர் மாவட்டம்	Category:Jaipur district
பகுப்பு:யாஜ்பூர் மாவட்டம்	Category:Jajpur district
பகுப்பு:ஜள்காவ் மாவட்டம்	Category:Jalgaon district
பகுப்பு:ஜால்னா மாவட்டம்	Category:Jalna district
டைவர்ஜென்ட்	Divergent (film)
பகுப்பு:ஜம்மு காஷ்மீர் புவியியல் தொடர்பான குறுங்கட்டுரைகள்	Category:Jammu and Kashmir geography stubs
பகுப்பு:ஜம்மு காஷ்மீர் அரசியல்வாதிகள்	Category:Jammu and Kashmir politicians
பகுப்பு:ஜாம்தாடா மாவட்டம்	Category:Jamtara district
பகுப்பு:மக்கள் விடுதலை முன்னணி	Category:Janatha Vimukthi Peramuna
பகுப்பு:மக்கள் விடுதலை முன்னணி அரசியல்வாதிகள்	Category:Janatha Vimukthi Peramuna politicians
பகுப்பு:ஜாஞ்சுகீர்-சாம்பா மாவட்டம்	Category:Janjgir-Champa district
பகுப்பு:ஜப்பானியத் தொன்மவியல்	Category:Japanese mythology
விக்கிப்பீடியா:பக்க வரலாறு	Help:Page history
பகுப்பு:ஜஷ்பூர் மாவட்டம்	Category:Jashpur district
பகுப்பு:யெகோவாவின் சாட்சிகள்	Category:Jehovah's Witnesses
பகுப்பு:இயேசு சபையின் கல்வி நிறுவனங்கள்	Category:Jesuit universities and colleges
பகுப்பு:தாரைப் பொறிகள்	Category:Jet engines
பகுப்பு:ஜார்க்கண்டின் சட்டமன்றம்	Category:Jharkhand Legislative Assembly
பகுப்பு:ஜார்க்கண்ட் புவியியல் தொடர்பான குறுங்கட்டுரைகள்	Category:Jharkhand geography stubs
பகுப்பு:ஜார்க்கண்ட் அரசியல்வாதிகள்	Category:Jharkhand politicians
பகுப்பு:ஜார்சுகுடா மாவட்டம்	Category:Jharsuguda district
பகுப்பு:பண்டைய இஸ்ரயேலின் நீதித்தலைவர்கள்	Category:Judges of ancient Israel
பகுப்பு:சோதிலிங்க சிவாலயங்கள்	Category:Jyotirlingas
பகுப்பு:கவர்தா மாவட்டம்	Category:Kabirdham district
பகுப்பு:கைமுர் மாவட்டம்	Category:Kaimur district
பகுப்பு:களாஹாண்டி மாவட்டம்	Category:Kalahandi district
பகுப்பு:காஞ்சிபுரம் மாவட்டம்	Category:Kanchipuram district
பகுப்பு:கந்தமாள் மாவட்டம்	Category:Kandhamal district
பகுப்பு:காங்கேர் மாவட்டம்	Category:Kanker district
பகுப்பு:கன்னடத் திரைத்துறை	Category:Kannada cinema
பகுப்பு:கன்னடத் திரைப்பட நடிகைகள்	Category:Actresses in Kannada cinema
பகுப்பு:கன்னடத் திரைப்பட இயக்குநர்கள்	Category:Kannada film directors
பகுப்பு:கன்னடக் கவிஞர்கள்	Category:Kannada poets
பகுப்பு:கன்னட எழுத்தாளர்கள்	Category:Kannada writers
பகுப்பு:கான்பூர் மாவட்டம்	Category:Kanpur district
பகுப்பு:கன்னியாகுமரி மாவட்டம்	Category:Kanyakumari district
பகுப்பு:காரைக்கால் மாவட்டம்	Category:Karaikal district
பகுப்பு:கரீம்நகர் மாவட்டம்	Category:Karimnagar district
பகுப்பு:கர்நாடக அரசியல்வாதிகள்	Category:Karnataka politicians
பகுப்பு:கரூர் மாவட்டம்	Category:Karur district
பகுப்பு:காசர்கோடு மாவட்டம்	Category:Kasaragod district
பகுப்பு:கட்டிஹார் மாவட்டம்	Category:Katihar district
பகுப்பு:கட்னி மாவட்டம்	Category:Katni district
பகுப்பு:கேந்திராபடா மாவட்டம்	Category:Kendrapara district
பகுப்பு:கேந்துஜர் மாவட்டம்	Category:Kendujhar district
பகுப்பு:கென்ட் துடுப்பாட்டக்காரர்கள்	Category:Kent cricketers
பகுப்பு:கென்ய சுற்றுச்சூழல் செயற்பாட்டாளர்கள்	Category:Kenyan environmentalists
பகுப்பு:கேரள சட்டமன்றம்	Category:Kerala Legislative Assembly
பகுப்பு:கேரள அரசியல்வாதிகள்	Category:Kerala politicians
பகுப்பு:கம்மம் மாவட்டம்	Category:Khammam district
பகுப்பு:கோர்த்தா மாவட்டம்	Category:Khordha district
பகுப்பு:கிளிநொச்சி மாவட்டம்	Category:Kilinochchi District
பகுப்பு:மைசூர் அரசர்கள்	Category:Kings of Mysore
பகுப்பு:குடகு மாவட்டம்	Category:Kodagu district
பகுப்பு:கோடர்மா மாவட்டம்	Category:Koderma district
பகுப்பு:கோலார் மாவட்டம்	Category:Kolar district
பகுப்பு:கோல்ஹாப்பூர் மாவட்டம்	Category:Kolhapur district
பகுப்பு:கொல்கத்தா	Category:Kolkata
பகுப்பு:கொல்லம் மாவட்டம்	Category:Kollam district
உமையா கலீபகம்	Umayyad Caliphate
பகுப்பு:கொப்பள் மாவட்டம்	Category:Koppal district
பகுப்பு:கோராபுட் மாவட்டம்	Category:Koraput district
பகுப்பு:கோர்பா மாவட்டம்	Category:Korba district
பகுப்பு:கோரியா மாவட்டம்	Category:Koriya district
பகுப்பு:கோட்டா மாவட்டம்	Category:Kota district
பகுப்பு:கோட்டயம் மாவட்டம்	Category:Kottayam district
பகுப்பு:கோழிக்கோடு மாவட்டம்	Category:Kozhikode district
பகுப்பு:கிருஷ்ணா மாவட்டம்	Category:Krishna district
பகுப்பு:கிருஷ்ணகிரி மாவட்டம்	Category:Krishnagiri district
பகுப்பு:கர்நூல் மாவட்டம்	Category:Kurnool district
பகுப்பு:குருச்சேத்திரப் போர்கள்	Category:Kurukshetra war
பகுப்பு:கட்சு மாவட்டம்	Category:Kutch district
புதிய வளர்ச்சி வங்கி	New Development Bank
பகுப்பு:நாடுகள் வாரியாகக் கடற்காயல்கள்	Category:Lagoons by country
பகுப்பு:கடற்காயல்கள்	Category:Lagoons
பகுப்பு:குஜராத்திலுள்ள ஏரிகள்	Category:Lakes of Gujarat
பகுப்பு:கர்நாடக ஏரிகள்	Category:Lakes of Karnataka
பகுப்பு:கேரள ஏரிகள்	Category:Lakes of Kerala
பகுப்பு:சிக்கிம் ஏரிகள்	Category:Lakes of Sikkim
பகுப்பு:தமிழ்நாட்டு ஏரிகள்	Category:Lakes of Tamil Nadu
பகுப்பு:லன்காசையர் துடுப்பாட்டக்காரர்கள்	Category:Lancashire cricketers
பகுப்பு:மொழிப் புத்துயிர்ப்பு	Category:Language revival
பகுப்பு:லாத்தேஹார் மாவட்டம்	Category:Latehar district
பகுப்பு:இலத்தீன் எழுத்தாளர்கள்	Category:Latin-language writers
பகுப்பு:லாத்தூர் மாவட்டம்	Category:Latur district
பகுப்பு:இலை	Category:Leaves
வலைவாசல்:கிறித்தவம்	Portal:Christianity
பகுப்பு:இந்திய மாநிலங்களின் சட்டமன்றத் தொகுதிகள்	Category:Legislative Assembly constituencies of Indian states
பகுப்பு:லெனின் அமைதிப் பரிசு	Category:Lenin Peace Prize
பகுப்பு:லெனின் அமைதிப் பரிசு பெற்றவர்கள்	Category:Lenin Peace Prize recipients
பகுப்பு:தொழுநோய் வல்லுநர்கள்	Category:Leprologists
வலைவாசல்:இந்து சமயம்	Portal:Hinduism
பகுப்பு:அகராதியியல்	Category:Lexicography
வலைவாசல்:விவிலியம்	Portal:Bible
பகுப்பு:தமிழீழ விடுதலைப் புலிகள்	Category:Liberation Tigers of Tamil Eelam
பகுப்பு:விடுதலைப் புலிகளின் போராளிகள்	Category:Liberation Tigers of Tamil Eelam members
பகுப்பு:ஒளி	Category:Light
பகுப்பு:இந்தியாவில் உள்ள கலங்கரை விளக்கங்கள்	Category:Lighthouses in India
பகுப்பு:இலங்கையில் உள்ள கலங்கரை விளக்கங்கள்	Category:Lighthouses in Sri Lanka
பகுப்பு:லின்கன்சையர் துடுப்பாட்டக்காரர்கள்	Category:Lincolnshire cricketers
பகுப்பு:லினக்சு	Category:Linux
பகுப்பு:இயந்திரங்கள்	Category:Machines
பகுப்பு:மத்தியப் பிரதேச சட்டமன்றம்	Category:Madhya Pradesh Legislative Assembly
பகுப்பு:மத்தியப் பிரதேசம் புவியியல் தொடர்பான குறுங்கட்டுரைகள்	Category:Madhya Pradesh geography stubs
பகுப்பு:மத்தியப் பிரதேச அரசியல்வாதிகள்	Category:Madhya Pradesh politicians
பகுப்பு:மதுரை மாவட்டம்	Category:Madurai district
பகுப்பு:மூவடுக்கிதழிகள்	Category:Magnoliids
பகுப்பு:மகாராஷ்டிரம் புவியியல் தொடர்பான குறுங்கட்டுரைகள்	Category:Maharashtra geography stubs
பகுப்பு:மகாராட்டிர அரசியல்வாதிகள்	Category:Maharashtra politicians
பகுப்பு:மகாசமுந்து மாவட்டம்	Category:Mahasamund district
பகுப்பு:மகபூப்நகர் மாவட்டம்	Category:Mahbubnagar district
பகுப்பு:மாகி மாவட்டம்	Category:Mahe district
பகுப்பு:மைன்புரி மாவட்டம்	Category:Mainpuri district
பகுப்பு:சிங்கப்பூர் கட்டிடக்கலை	Category:Lists of buildings and structures in Singapore
பகுப்பு:நாடுகள் தொடர்பான பட்டியல்கள்	Category:Lists of countries
பகுப்பு:மொழி வாரியாக இலக்கியங்கள்	Category:Literature by language
பகுப்பு:இலங்கை, கிழக்கு மாகாணத்தின் உள்ளூராட்சி சபைகள்	Category:Local authorities in Eastern Province, Sri Lanka
பகுப்பு:மலப்புறம் மாவட்டம்	Category:Malappuram district
பகுப்பு:மலையாளத் திரைப்படங்கள்	Category:Malayalam-language films
பகுப்பு:மலையாள கலைக்களஞ்சியங்கள்	Category:Malayalam encyclopedias
பகுப்பு:மலையாளத் திரைப்பட நடிகர்கள்	Category:Actors in Malayalam cinema
பகுப்பு:மலையாளத் திரைப்பட இயக்குநர்கள்	Category:Malayalam film directors
பகுப்பு:மலையாளம்	Category:Malayalam language
பகுப்பு:மலையாளத் திரைப்பட இசையமைப்பாளர்கள்	Category:Malayalam music directors
பகுப்பு:லோஹர்தக்கா மாவட்டம்	Category:Lohardaga district
பகுப்பு:மலேசிய நூல்கள்	Category:Malaysian books
பகுப்பு:ஆந்திரப் பிரதேச மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Andhra Pradesh
பகுப்பு:அருணாசலப் பிரதேச மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Arunachal Pradesh
பகுப்பு:கோவா மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Goa
பகுப்பு:குசராத்து மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Gujarat
பகுப்பு:இமாசலப் பிரதேச மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Himachal Pradesh
பகுப்பு:ஜார்க்கண்டிலுள்ள மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Jharkhand
பகுப்பு:கர்நாடக மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Karnataka
பகுப்பு:மகாராட்டிர மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Maharashtra
பகுப்பு:மேகாலயா மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Meghalaya
பகுப்பு:தமிழக மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Tamil Nadu
பகுப்பு:திரிபுரா மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Tripura
பகுப்பு:உத்தரப் பிரதேச மக்களவைத் தொகுதிகள்	Category:Lok Sabha constituencies in Uttar Pradesh
பகுப்பு:மலேசிய முடியாட்சி	Category:Malaysian monarchy
பகுப்பு:மலேசியத் தொன்மவியல்	Category:Malaysian mythology
பகுப்பு:மால்கான்கிரி மாவட்டம்	Category:Malkangiri district
பகுப்பு:சித்தூர் மாவட்டத்திலுள்ள மண்டலங்கள்	Category:Mandals in Chittoor district
பகுப்பு:கிழக்கு கோதாவரி மாவட்டத்தின் மண்டலங்கள்	Category:Mandals in East Godavari district
பகுப்பு:நெல்லூர் மாவட்டத்திலுள்ள மண்டலங்கள்	Category:Mandals in Nellore district
பகுப்பு:மண்டியா மாவட்டம்	Category:Mandya district
பகுப்பு:மாவினங்கள்	Category:Mangifera
பகுப்பு:மன்னார் மாவட்டம்	Category:Mannar District
பகுப்பு:ஒளிப்பாயம்	Category:Luminescence
பகுப்பு:மானுசு மாகாணம்	Category:Manus Province
பகுப்பு:வரைபடங்கள்	Category:Maps
பகுப்பு:மராத்தி	Category:Marathi
பகுப்பு:மராத்தித் திரைப்படங்கள்	Category:Marathi-language films
பகுப்பு:மராத்தியர்கள்	Category:Marathi people
பகுப்பு:மராத்தி கவிஞர்கள்	Category:Marathi poets
பகுப்பு:இந்து திருமணம்	Category:Marriage in Hinduism
பகுப்பு:திருப்பலி (வழிபாடு)	Category:Mass (liturgy)
பகுப்பு:சிங்கப்பூர் ரயில் நிலையங்கள்	Category:Mass Rapid Transit (Singapore) stations
பகுப்பு:இலங்கையில் படுகொலைகள்	Category:Mass murder in Sri Lanka
பகுப்பு:வங்காளதேசத்தில் படுகொலைகள்	Category:Massacres in Bangladesh
பகுப்பு:கணித மாதிரியியல்	Category:Mathematical modeling
பகுப்பு:மதுரா மாவட்டம்	Category:Mathura district
பகுப்பு:மொரிசியத் தமிழர்	Category:Mauritian people of Tamil descent
பகுப்பு:மே நிகழ்வுகள்	Category:May events
விக்கிப்பீடியா:Cheatsheet	Help:Cheatsheet
விக்கிப்பீடியா:பிரான்சிய ஒலிப்புக் குறிகள்	Help:IPA for French
விக்கிப்பீடியா:முன்தோற்றம்	Help:Show preview
பகுப்பு:ஆந்திரப் பிரதேசத்தில் ஊடகம்	Category:Media of Andhra Pradesh
பகுப்பு:மகாராட்டிரத்தில் ஊடகம்	Category:Media of Maharashtra
பகுப்பு:குயினோன்கள்	Category:Quinones
பகுப்பு:மேகாலயாவின் சட்டமன்றம்	Category:Meghalaya Legislative Assembly
பகுப்பு:மேகாலயா அரசியல்வாதிகள்	Category:Meghalaya politicians
பகுப்பு:இலங்கையின் 10வது நாடாளுமன்ற உறுப்பினர்கள்	Category:Members of the 10th Parliament of Sri Lanka
பகுப்பு:இலங்கையின் 12வது நாடாளுமன்ற உறுப்பினர்கள்	Category:Members of the 12th Parliament of Sri Lanka
பகுப்பு:இலங்கையின் 13வது நாடாளுமன்ற உறுப்பினர்கள்	Category:Members of the 13th Parliament of Sri Lanka
பகுப்பு:இலங்கையின் 2வது நாடாளுமன்ற உறுப்பினர்கள்	Category:Members of the 2nd Parliament of Ceylon
பகுப்பு:இலங்கையின் 5வது நாடாளுமன்ற உறுப்பினர்கள்	Category:Members of the 5th Parliament of Ceylon
பகுப்பு:இலங்கையின் 7வது நாடாளுமன்ற உறுப்பினர்கள்	Category:Members of the 7th Parliament of Ceylon
பகுப்பு:இலங்கையின் 8வது நாடாளுமன்ற உறுப்பினர்கள்	Category:Members of the 8th Parliament of Sri Lanka
பகுப்பு:இலங்கையின் 9வது நாடாளுமன்ற உறுப்பினர்கள்	Category:Members of the 9th Parliament of Sri Lanka
பகுப்பு:வானலை அடையாளம்	Category:Radio-frequency identification
பகுப்பு:இந்திய அமைச்சர்கள்	Category:Members of the Cabinet of India
பகுப்பு:வானொலி சின்னங்கள்	Category:Radio logos
பகுப்பு:தில்லி சட்டமன்ற உறுப்பினர்கள்	Category:Members of the Delhi Legislative Assembly
பகுப்பு:இலங்கையின் நிறைவேற்றுப் பேரவை உறுப்பினர்கள்	Category:Members of the Executive Council of Ceylon
பகுப்பு:கேரள சட்டமன்ற உறுப்பினர்கள்	Category:Members of the Kerala Legislative Assembly
பகுப்பு:மக்களவை உறுப்பினர்கள்	Category:Members of the Lok Sabha
பகுப்பு:மகாராட்டிர சட்டமன்ற உறுப்பினர்கள்	Category:Members of the Maharashtra Legislative Assembly
பகுப்பு:மொரிசியசின் தேசிய சட்டமன்ற உறுப்பினர்கள்	Category:Members of the National Assembly (Mauritius)
பகுப்பு:மாநிலங்களவை உறுப்பினர்கள்	Category:Members of the Rajya Sabha
பகுப்பு:இலங்கை செனட் சபை உறுப்பினர்கள்	Category:Members of the Senate of Ceylon
பகுப்பு:இலங்கை அரசாங்க சபை உறுப்பினர்கள்	Category:Members of the State Council of Ceylon
பகுப்பு:நாடு கடந்த தமிழீழ அரசின் உறுப்பினர்கள்	Category:Members of the Transnational Constituent Assembly of Tamil Eelam
பகுப்பு:வானொலித் தொழில்நுட்பம்	Category:Radio technology
பகுப்பு:ரேடியம்	Category:Radium
பகுப்பு:ரேடியம் சேர்மங்கள்	Category:Radium compounds
பகுப்பு:கூலிப்படைகள்	Category:Mercenary units and formations
பகுப்பு:வணிகர்கள்	Category:Merchants
பகுப்பு:ராய்ச்சூர் மாவட்டம்	Category:Raichur district
பகுப்பு:ராய்கட் மாவட்டம்	Category:Raigad district
பகுப்பு:ராய்கர் மாவட்டம்	Category:Raigarh district
பகுப்பு:சிங்கப்பூர் ரயில் போக்குவரத்து	Category:Rail transport in Singapore
பகுப்பு:இலங்கையின் தொடருந்துப் பாதைகள்	Category:Railway lines in Sri Lanka
பகுப்பு:ஆந்திரப் பிரதேசத் தொடருந்து நிலையங்கள்	Category:Railway stations in Andhra Pradesh
பகுப்பு:பீகாரிலுள்ள தொடருந்து நிலையங்கள்	Category:Railway stations in Bihar
பகுப்பு:இந்தியப் படைத்துறை விருதுகள்	Category:Military awards and decorations of India
பகுப்பு:இந்தியத் தொடருந்து நிலையங்கள்	Category:Railway stations in India
பகுப்பு:யாழ்ப்பாண மாவட்டத்தில் உள்ள தொடருந்து நிலையங்கள்	Category:Railway stations in Jaffna District
பகுப்பு:கேரளத்திலுள்ள தொடருந்து நிலையங்கள்	Category:Railway stations in Kerala
பகுப்பு:மகாராட்டிரத் தொடருந்து நிலையங்கள்	Category:Railway stations in Maharashtra
பகுப்பு:இலங்கையில் உள்ள தொடருந்து நிலையங்கள்	Category:Railway stations in Sri Lanka
பகுப்பு:தமிழ்நாட்டுத் தொடருந்து நிலையங்கள்	Category:Railway stations in Tamil Nadu
பகுப்பு:உத்தரப் பிரதேசத் தொடருந்து நிலையங்கள்	Category:Railway stations in Uttar Pradesh
பகுப்பு:வவுனியா மாவட்டத்தில் உள்ள தொடருந்து நிலையங்கள்	Category:Railway stations in Vavuniya District
பகுப்பு:ராய்ப்பூர் மாவட்டம்	Category:Raipur district
பகுப்பு:ராஜபக்ச குடும்பம்	Category:Rajapaksa family
பகுப்பு:ராஜஸ்தான் சட்டமன்றம்	Category:Rajasthan Legislative Assembly
பகுப்பு:ராஜஸ்தான் புவியியல் தொடர்பான குறுங்கட்டுரைகள்	Category:Rajasthan geography stubs
பகுப்பு:ராஜ்நாந்துகாவ் மாவட்டம்	Category:Rajnandgaon district
பகுப்பு:மாநிலங்களவை	Category:Rajya Sabha
பகுப்பு:ராமநகரம் மாவட்டம்	Category:Ramanagara district
பகுப்பு:இராமநாதபுரம் மாவட்டம்	Category:Ramanathapuram district
பகுப்பு:இராமாயணம்	Category:Ramayana
பகுப்பு:ராம்கர் மாவட்டம்	Category:Ramgarh district
பகுப்பு:ராம்பூர் மாவட்டம்	Category:Rampur district
பகுப்பு:ராஞ்சி மாவட்டம்	Category:Ranchi district
பகுப்பு:ரேஞ்சர் திட்டம்	Category:Ranger program
பகுப்பு:இராஷ்டிரகூடர் மரபு	Category:Rashtrakuta Dynasty
பகுப்பு:மிர்சாபூர் மாவட்டம்	Category:Mirzapur district
பகுப்பு:ரத்னகிரி மாவட்டம்	Category:Ratnagiri district
பகுப்பு:ராயகடா மாவட்டம்	Category:Rayagada district
பகுப்பு:அருச்சுனா விருது பெற்றவர்கள்	Category:Recipients of the Arjuna Award
பகுப்பு:அசோகச் சக்கர விருது பெற்றவர்கள்	Category:Recipients of the Ashoka Chakra (military decoration)
பகுப்பு:மூலக்கூறுகள்	Category:Molecules
பகுப்பு:மொனராகலை மாவட்டம்	Category:Moneragala District
பகுப்பு:பத்ம விபூசண் விருது பெற்றவர்கள்	Category:Recipients of the Padma Vibhushan
பகுப்பு:சாகித்திய அகாதமி விருது பெற்றோர்	Category:Recipients of the Sahitya Akademi Award
பகுப்பு:பட்நாகர் பரிசாளர்கள்	Category:Recipients of the Shanti Swarup Bhatnagar Prize for Science and Technology
பகுப்பு:நெப்டியூனின் நிலவுகள்	Category:Moons of Neptune
பகுப்பு:மொராதாபாத் மாவட்டம்	Category:Moradabad district
ஓவர்லார்ட் நடவடிக்கை	Operation Overlord
பகுப்பு:ஒடுக்கிகள்	Category:Reducing agents
பகுப்பு:மும்பை மாவட்டம்	Category:Mumbai City district
பகுப்பு:மும்பை புறநகர் மாவட்டம்	Category:Mumbai Suburban district
பகுப்பு:சமயம் தொடர்பான பட்டியல்கள்	Category:Religion-related lists
வார்ப்புரு:World Chess Championships	Template:World Chess Championships
பகுப்பு:மலேசிய அருங்காட்சியகங்கள்	Category:Museums in Malaysia
பகுப்பு:இந்திய சமய அமைப்புகள்	Category:Religious organisations based in India
பகுப்பு:இலங்கையின் அருங்காட்சியகங்கள்	Category:Museums in Sri Lanka
கல்முனை தேர்தல் தொகுதி	Kalmunai Electoral District
பகுப்பு:நாடு வாரியாக ஊர்வன	Category:Reptiles by country
பகுப்பு:இந்திய ஊர்வன	Category:Reptiles of India
பகுப்பு:மைசூர் மாவட்டம்	Category:Mysore district
பகுப்பு:சிங்கப்பூர் நீர்தேக்கங்கள்	Category:Reservoirs in Singapore
வார்ப்புரு:Listen	Template:Listen
பகுப்பு:நபரங்குபூர் மாவட்டம்	Category:Nabarangpur district
பகுப்பு:நாதசுவரக் கலைஞர்கள்	Category:Nadaswaram players
பகுப்பு:நதியா மாவட்டம்	Category:Nadia district
பகுப்பு:நாகப்பட்டினம் மாவட்டம்	Category:Nagapattinam district
பகுப்பு:நாமக்கல் மாவட்டம்	Category:Namakkal district
பகுப்பு:நாந்தேட் மாவட்டம்	Category:Nanded district
பகுப்பு:நந்தி விருதுகள்	Category:Nandi Awards
பகுப்பு:நந்துர்பார் மாவட்டம்	Category:Nandurbar district
பகுப்பு:நனோ தொழில்நுட்பம்	Category:Nanotechnology
பகுப்பு:நர்சிங்பூர் மாவட்டம்	Category:Narsinghpur district
பகுப்பு:நாசிக் மாவட்டம்	Category:Nashik district
பகுப்பு:கலவரங்கள்	Category:Riots
பகுப்பு:தேசிய திரைப்பட விருதுகள்	Category:National Film Awards (India)
பகுப்பு:ஆந்திர ஆறுகள்	Category:Rivers of Andhra Pradesh
பகுப்பு:ஆசிய ஆறுகள்	Category:Rivers of Asia
பகுப்பு:கர்நாடக ஆறுகள்	Category:Rivers of Karnataka
பகுப்பு:கேரள ஆறுகள்	Category:Rivers of Kerala
பகுப்பு:மகாராட்டிர ஆறுகள்	Category:Rivers of Maharashtra
பகுப்பு:வட அமெரிக்க ஆறுகள்	Category:Rivers of North America
பகுப்பு:தமிழக ஆறுகள்	Category:Rivers of Tamil Nadu
பகுப்பு:திபெத்திய ஆறுகள்	Category:Rivers of Tibet
பகுப்பு:இலங்கையின் தேசிய பாடசாலைகள்	Category:National schools in Sri Lanka
பகுப்பு:இலங்கையில் இயற்கை அழிவுகள்	Category:Natural disasters in Sri Lanka
பகுப்பு:சாலைப் போக்குவரத்து	Category:Road transport
பகுப்பு:இயற்கைத் திரைப்படங்கள்	Category:Nature films
பகுப்பு:நயாகட் மாவட்டம்	Category:Nayagarh district
பகுப்பு:நாயன்மார்கள்	Category:Nayanar saints
பகுப்பு:தானியங்கியல்	Category:Robotics
பகுப்பு:தானியங்கிகள்	Category:Robots
பகுப்பு:பெங்களூர்	Category:Neighbourhoods of Bangalore
பகுப்பு:புதியகற்காலக் கட்டிடக்கலை	Category:Neolithic sites
பகுப்பு:ரோத்தாஸ் மாவட்டம்	Category:Rohtas district
பகுப்பு:நியூசிலாந்து துடுப்பாட்ட வீரர்கள்	Category:New Zealand cricketers
பகுப்பு:உரோமா	Category:Romani
பகுப்பு:நீலகிரி மாவட்டம்	Category:Nilgiris district
பகுப்பு:நிசாமாபாத் மாவட்டம்	Category:Nizamabad district
பகுப்பு:நார்போல்க் துடுப்பாட்டக்காரர்கள்	Category:Norfolk cricketers
பகுப்பு:ரொசெட்டா திட்டம்	Category:Rosetta mission
பகுப்பு:வடமத்திய மாகாணம், இலங்கை	Category:North Central Province, Sri Lanka
பகுப்பு:வடமேற்கு தில்லி மாவட்டம்	Category:North West Delhi district
பகுப்பு:நார்தாம்ப்டன்சையர் துடுப்பாட்டக்காரர்கள்	Category:Northamptonshire cricketers
பகுப்பு:கொழும்பு றோயல் கல்லூரி	Category:Royal College, Colombo
பகுப்பு:நோர்வே மருத்துவர்கள்	Category:Norwegian physicians
பகுப்பு:நாட்டிங்ஹாம்சையர் துடுப்பாட்டக்காரர்கள்	Category:Nottinghamshire cricketers
பகுப்பு:ஒபாமா அரசின் சர்ச்சைகள்	Category:Obama administration controversies
பகுப்பு:இந்து சமய வழிபாட்டுப் பொருட்கள்	Category:Objects used in Hindu worship
பகுப்பு:மாதங்கள் வாரியாக சிறப்பு நாட்கள்	Category:Observances by month
பகுப்பு:உருசியத் திரைப்படங்கள்	Category:Russian films
பகுப்பு:அக்டோபர் நிகழ்வுகள்	Category:October events
பகுப்பு:ஒடிசாவின் சட்டமன்றம்	Category:Odisha Legislative Assembly
பகுப்பு:ஒரிய அரசியல்வாதிகள்	Category:Odisha politicians
பகுப்பு:திடநிலை வேதியியல்	Category:Solid-state chemistry
பகுப்பு:கரிம வேதியியல்	Category:Organic chemistry
பகுப்பு:முப்பரிமாண வேதியியல்	Category:Stereochemistry
பகுப்பு:கிறித்தவம் தொடர்பான குறுங்கட்டுரைகள்	Category:Christianity stubs
பகுப்பு:இந்திய ஒலிம்பிக் வீரர்கள்	Category:Olympic competitors for India
பகுப்பு:சகாரன்பூர் மாவட்டம்	Category:Saharanpur district
பகுப்பு:சாகிப்கஞ்சு மாவட்டம்	Category:Sahibganj district
பகுப்பு:செயிண்ட் லூசியா	Category:Saint Lucia
பகுப்பு:சேலம் மாவட்டம்	Category:Salem district
பகுப்பு:சலேசியர்கள்	Category:Salesians
பகுப்பு:சம்பல்பூர் மாவட்டம்	Category:Sambalpur district
பகுப்பு:சங்க இலக்கியம்	Category:Sangam literature
பகுப்பு:சாங்குலி மாவட்டம்	Category:Sangli district
பகுப்பு:கரிம ஒடுக்க-ஏற்ற வினைகள்	Category:Organic redox reactions
பகுப்பு:சாத்தாரா மாவட்டம்	Category:Satara district
பகுப்பு:ஒரியப் பண்பாடு	Category:Oriya culture
பகுப்பு:ஆக்சுபோர்டு பல்கலைக்கழகத் துடுப்பாட்டக்காரர்கள்	Category:Oxford University cricketers
பகுப்பு:ஆக்சுபோர்ட்சையர் துடுப்பாட்டக்காரர்கள்	Category:Oxfordshire cricketers
பகுப்பு:பச்சிலைப்பள்ளி பிரதேசச் செயலாளர் பிரிவு	Category:Pachchilaipalli DS Division
பகுப்பு:பலாமூ மாவட்டம்	Category:Palamu district
பகுப்பு:பழங்கற்காலம்	Category:Paleolithic
பகுப்பு:பஞ்ச சபை	Category:Pancha Sabhai
பகுப்பு:பஞ்ச கேதார தலங்கள்	Category:Pancharama Kshetras
பகுப்பு:மன்னார் மாவட்டப் பாடசாலைகள்	Category:Schools in Mannar, Sri Lanka
பகுப்பு:இந்திய துணை இராணுவம்	Category:Paramilitary forces of India
பகுப்பு:மகாபாரத பருவங்கள்	Category:Parvas in Mahabharata
பகுப்பு:பத்தனம்திட்டா மாவட்டம்	Category:Pathanamthitta district
பகுப்பு:ஹொங்கொங்கில் உள்ள தீபகற்பங்கள்	Category:Peninsulas of Hong Kong
பகுப்பு:நிலநடுக்கவியல்	Category:Seismology
பகுப்பு:உணரிகள்	Category:Sensors
பகுப்பு:சிவனி மாவட்டம்	Category:Seoni district
