ਅਫ਼ਰੀਕਾ	Africa
ਏਕਟੀ ਨਦਿਰ ਨਾਮ	Ekti Nadir Naam
ਏਲਿਸਬਰਗ, ਨਿਊਯਾਰਕ	Ellisburg, New York
ਭੱਟ ਮਥੁਰਾਨਾਥ ਸ਼ਾਸਤਰੀ	Bhatt Mathuranath Shastri
ਐਮਨਾਬਾਦ	Eminabad
ਐਪਿਕ ਅਤੇ ਨਾਵਲ	Epic and Novel
ਸਾਂਤਾ ਆਨਾ ਦੀ ਚੈਪਲ	Ermita de Santa Ana
ਸਾਂਤੀਆਗੋ ਆਸ਼ਰਮ (ਮੋਨਸਾਕਰੋ)	Ermita de Santiago (Monsacro)
ਸਾਂਤੀਆਗੋ ਆਸ਼ਰਮ	Ermita de Santiago
ਲਾ ਮਾਗਦਾਲੇਨਾ ਆਸ਼ਰਮ	Ermita de la Magdalena (Monsacro)
ਇਟਾਵਾ ਲੋਕ ਸਭਾ ਹਲਕਾ	Etawah (Lok Sabha constituency)
ਫਰਮਾ:!-	Template:!-
ਫਰਮਾ:=	Template:=
ਫਰਮਾ:Tnavbar	Template:Navbar
ਫਰਮਾ:Unicode	Template:Unicode
ਫਰਮਾ:Transclude	Template:Transclude
ਫਰਮਾ:E	Template:E
ਫਰਮਾ:Clear	Template:Clear
ਫਰਮਾ:Col-break	Template:Col-break
ਫਰਮਾ:Col-begin	Template:Col-begin
ਫਰਮਾ:Col-end	Template:Col-end
ਫਰਮਾ:Color	Template:Color
ਫਰਮਾ:Nowrap	Template:Nowrap
ਫਰਮਾ:Abbr	Template:Abbr
ਫਰਮਾ:Anchor	Template:Anchor
ਗਰਾਨਾਦਾ ਵੱਡਾ ਗਿਰਜਾਘਰ	Granada Cathedral
ਫ਼ਹਿਮੀਦਾ ਰਿਆਜ਼	Fahmida Riaz
ਫੈਜ਼ਾਬਾਦ ਲੋਕ ਸਭਾ ਹਲਕਾ	Faizabad (Lok Sabha constituency)
ਫਲਕ ਸ਼ਬੀਰ	Falak Shabir
ਫਾਲਤੂ (2006 ਫਿਲਮ)	Faltu
ਫੈਨੀ ਐਡਮਸ	Fanny Adams
﻿ਫ਼ਰੀਹਾ ਪਰਵੇਜ਼	Fariha Pervez
ਫ਼ਾਰੂਖ਼ ਸ਼ੇਖ਼	Farooq Sheikh
ਫਰੂਖਾਬਾਦ ਲੋਕ ਸਭਾ ਹਲਕਾ	Farrukhabad (Lok Sabha constituency)
ਫ਼ਤਹਿ ਬੁਰਜ	Fateh Burj
ਫ਼ਤਿਹ ਸਿੰਘ (ਸਿੱਖ ਆਗੂ)	Fateh Singh (Sikh leader)
ਫ਼ਤਹਿਪੁਰ ਜੱਟਾਂ	Fatehpur Jattan
ਫਤੇਹਪੁਰ ਲੋਕ ਸਭਾ ਹਲਕਾ	Fatehpur (Lok Sabha constituency)
ਫਤੇਹਪੁਰ ਸੀਕਰੀ ਲੋਕ ਸਭਾ ਹਲਕਾ	Fatehpur Sikri (Lok Sabha constituency)
ਫ਼ਵਾਦ ਅਫ਼ਜ਼ਲ ਖ਼ਾਨ	Fawad Afzal Khan
ਫ਼ਜ਼ਲ ਸ਼ਾਹ	Fazal Shah Sayyad
ਭਾਰਤ ਵਿੱਚ ਨਾਰੀਵਾਦ	Feminism in India
ਘੋਲ	Solution
ਫ਼ਿਕਰ ਤੌਂਸਵੀ	Fikr Taunsvi
ਫਿਰੋਜਾਬਾਦ ਲੋਕ ਸਭਾ ਹਲਕਾ	Firozabad (Lok Sabha constituency)
ਫ਼ਿਰੋਜ਼ਪੁਰ (ਲੋਕ ਸਭਾ ਚੋਣ-ਹਲਕਾ)	Firozpur (Lok Sabha constituency)
ਫਰਸਟ ਬੇ ਟ੍ਰੈਡੀਸ਼ਨ	First Bay Tradition
ਐਫ.ਆਈ.ਆਰ.	First Information Report
ਕਰੀਮਨਗਰ	Karimnagar
ਵਿਕੀਪੀਡੀਆ:ਕੁਝ ਜ਼ਰੂਰੀ ਲੇਖ ਜੋ ਹਰ ਭਾਸ਼ਾ ਦੇ ਵਿਕੀਪੀਡੀਆ ਉੱਤੇ ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ	Wikipedia:Vital articles
ਸ਼੍ਰੇਣੀ:ਅਫ਼ਰੀਕਾ	Category:Africa
ਸ਼੍ਰੇਣੀ:ਜੁਲਾਈ	Category:July
ਸ਼੍ਰੇਣੀ:ਅੰਕ	Category:Numbers
ਸ਼੍ਰੇਣੀ:ਜੂਨ	Category:June
ਸ਼੍ਰੇਣੀ:ਮਹੀਨੇ	Category:Months
ਫਰਮਾ:Babel	Template:Babel
ਫਰਮਾ:ਹਵਾਲੇ	Template:Reflist
19ਵੀਂ ਸਦੀ	Folk dances of Punjab
ਫ਼ਾਰ ਮਾਰਕਸ	For Marx
ਅਗਰਭੂਮਨ	Foregrounding
ਰੂਪ ਅਤੇ ਅੰਤਰਵਸਤੂ	Form and content
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਦੁਬਈ	Template:Country data Dubai
ਫਰਮਾ:Chess diagram small	Template:Chess diagram small
ਫਰੈਡਰਿਕ ਉਪਹਾਮ ਐਡਮਸ	Frederick Upham Adams
ਫ਼ਰੌਂਡਿਸਫ਼ੀਰਾ	Frondisphaera
ਗਾਡੀਆ ਲੋਹਾਰ	Gadia Lohar
ਮੁਕਤੀਬੋਧ	Gajanan Madhav Muktibodh
ਗੰਡਾ ਸਿੰਘ	Ganda Singh
ਗਣੇਸ਼ ਦਾਮੋਦਰ ਸਾਵਰਕਰ	Ganesh Damodar Savarkar
ਗਣੇਸ਼ ਸ਼ੰਕਰ ਵਿਦਿਆਰਥੀ	Ganesh Shankar Vidyarthi
ਗੰਗਾ ਜਮਨੀ ਤਹਿਜ਼ੀਬ	Ganga-Jamuni tehzeeb
ਗੰਗਾ ਸਿੰਘ	Ganga Singh
ਗੰਗਾਧਰ ਨਹਿਰੂ	Gangadhar Nehru
ਗੌਹਰ ਖ਼ਾਨ	Gauhar Khan
ਗੌਰੀਸ਼ੰਕਰ ਹੀਰਾਨੰਦ ਓਝਾ	Gaurishankar Hirachand Ojha
ਗੌਤਮ ਬੁੱਧ ਨਗਰ ਲੋਕ ਸਭਾ ਹਲਕਾ	Gautam Buddha Nagar (Lok Sabha constituency)
ਫਰਮਾ:ਅਧਾਰ	Template:Stub
ਗੀਤ ਚਤੁਰਵੇਦੀ	Geet Chaturvedi
ਗੀਤਾ ਆਨੰਦ	Geeta Anand
ਗਹਿਰੀ ਬੁੱਟਰ	Gehri Buttar
ਫਰਮਾ:User af-1	Template:User af-1
ਫਰਮਾ:User ar-1	Template:User ar-1
ਫਰਮਾ:User az	Template:User az
ਫਰਮਾ:User bar-1	Template:User bar-1
ਫਰਮਾ:User eo-1	Template:User eo-1
ਫਰਮਾ:See also	Template:See also
ਫਰਮਾ:User da-2	Template:User da-2
ਫਰਮਾ:User da	Template:User da
ਫਰਮਾ:User ca-1	Template:User ca-1
ਫਰਮਾ:User ca-4	Template:User ca-4
ਫਰਮਾ:User be-2	Template:User be-2
ਫਰਮਾ:User da-1	Template:User da-1
ਫਰਮਾ:User cs-1	Template:User cs-1
ਫਰਮਾ:User bg-1	Template:User bg-1
ਫਰਮਾ:User eo-3	Template:User eo-3
ਫਰਮਾ:User de	Template:User de
ਫਰਮਾ:ਮੈਂਬਰ ਜਰਮਨ-੧	Template:User de-1
ਫਰਮਾ:User eu	Template:User eu
ਫਰਮਾ:User et-1	Template:User et-1
ਫਰਮਾ:User el	Template:User el
ਫਰਮਾ:User es	Template:User es
ਫਰਮਾ:User de-3	Template:User de-3
ਫਰਮਾ:User en-3	Template:User en-3
ਫਰਮਾ:User el-1	Template:User el-1
ਫਰਮਾ:User en-1	Template:User en-1
ਫਰਮਾ:ਮੈਂਬਰ ਅੰਗਰੇਜ਼ੀ-੨	Template:User en-2
ਫਰਮਾ:ਮੈਂਬਰ ਫ਼ਾਰਸੀ-੧	Template:User fa-1
ਫਰਮਾ:User eo-2	Template:User eo-2
ਫਰਮਾ:User en-4	Template:User en-4
ਫਰਮਾ:User fi	Template:User fi
ਫਰਮਾ:User en-0	Template:User en-0
ਫਰਮਾ:ਵਰਤੋਂਕਾਰ en	Template:User en
ਫਰਮਾ:User de-2	Template:User de-2
ਫਰਮਾ:User es-1	Template:User es-1
ਫਰਮਾ:User fa	Template:User fa
ਫਰਮਾ:User fr-1	Template:User fr-1
ਗਰਾਰਾ	Gharara
ਘਾਸੀਰਾਮ ਕੋਤਵਾਲ	Ghashiram Kotwal
ਗਾਜ਼ੀਆਬਾਦ ਲੋਕ ਸਭਾ ਹਲਕਾ	Ghaziabad (Lok Sabha constituency)
ਗਾਜੀਪੁਰ ਲੋਕ ਸਭਾ ਹਲਕਾ	Ghazipur (Lok Sabha constituency)
ਘੂਮਰ	Ghoomar
ਘੋਸ਼ਾ	Ghosha
ਘੋਸੀ ਲੋਕ ਸਭਾ ਹਲਕਾ	Ghosi (Lok Sabha constituency)
ਅਜਰਾਵਤ	Ghotra
ਗ਼ੁਲਾਮ ਅਹਿਮਦ ਫ਼ਰੂਕੀ	Ghulam Ahmad Faroghi
ਗ਼ੁਲਾਮ ਮਨਸੂਰ	Ghulam Mansoor
ਗ਼ੁਲਾਮ ਮੁਹੰਮਦ ਸ਼ੇਖ਼	Ghulam Mohammed Sheikh
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਪੇਨ ਕਾਤਾਲੋਨੀਆ	Template:Location map Spain Catalonia
ਗਿਆਨੀ ਦਿੱਤ ਸਿੰਘ	Giani Ditt Singh
ਗਿਆਨੀ ਗੁਰਮੁਖ ਸਿੰਘ ਮੁਸਾਫ਼ਿਰ	Giani Gurmukh Singh Musafir
ਗਿਆਨੀ ਸੰਤ ਸਿੰਘ ਮਸਕੀਨ	Sant Singh Maskeen
ਗਿਆਨੀ ਗੁਰਦਿੱਤ ਸਿੰਘ	Giani Gurdit Singh
ਗਿੱਲ ਪੱਤੀ	Gill Patti
ਗਿੱਪੀ ਗਰੇਵਾਲ	Gippy Grewal
ਗਿਰੀਲਾਲ ਜੈਨ	Girilal Jain
ਫਰਮਾ:User ia-2	Template:User ia-2
ਫਰਮਾ:ਮੈਂਬਰ ਹਿੰਦੀ-੧	Template:User hi-1
ਫਰਮਾ:User hr	Template:User hr
ਫਰਮਾ:User id-3	Template:User id-3
ਫਰਮਾ:User io-3	Template:User io-3
ਫਰਮਾ:ਮੈਂਬਰ ਇਤਾਲਵੀ-੩	Template:User it-3
ਫਰਮਾ:User ja-4	Template:User ja-4
ਫਰਮਾ:User tr-2	Template:User tr-2
ਫਰਮਾ:ਮੈਂਬਰ ਫ਼ਰਾਂਸਿਸੀ-੨	Template:User fr-2
ਫਰਮਾ:User tr	Template:User tr
ਫਰਮਾ:User ja	Template:User ja
ਫਰਮਾ:User ja-1	Template:User ja-1
ਫਰਮਾ:User it-1	Template:User it-1
ਫਰਮਾ:User hr-1	Template:User hr-1
ਫਰਮਾ:User fr	Template:User fr
ਫਰਮਾ:User gsw-1	Template:User gsw-1
ਕ੍ਰਿਸ਼ਨ ਚੰਦਰ ਭੱਟਾਚਾਰੀਆ	Krishna Chandra Bhattacharya
ਗੋਪਾਲ ਰਾਏ	Gopal Rai
ਗੋਪੀ ਚੰਦ ਭਾਰਗਵ	Gopi Chand Bhargava
ਗੋਪੀ ਚੰਦ ਨਾਰੰਗ	Gopi Chand Narang
ਗੋਰਖਪੁਰ ਲੋਕ ਸਭਾ ਹਲਕਾ	Gorakhpur (Lok Sabha Constituency)
ਗੂਰਿਸ਼ ਕੈਕਿਨੀ	Gourish Kaikini
ਸਰਕਾਰੀ ਮੈਡੀਕਲ ਕਾਲਜ, ਅੰਮ੍ਰਿਤਸਰ	Government Medical College, Amritsar
ਸਰਕਾਰੀ ਮੈਡੀਕਲ ਕਾਲਜ, ਪਟਿਆਲਾ	Government Medical College, Patiala
ਨਿਰਪੇਨ ਚਕਰਵਰਤੀ	Nripen Chakraborty
ਸ਼੍ਰੇਣੀ:ਫ਼ਰਵਰੀ	Category:February
ਸ਼੍ਰੇਣੀ:ਏਸ਼ੀਆ	Category:Asia
ਸ਼੍ਰੇਣੀ:ਚਿਲੇ	Category:Chile
ਸ਼੍ਰੇਣੀ:21ਵੀਂ ਸਦੀ	Category:21st century
ਸ਼੍ਰੇਣੀ:੧੯੫੪	Category:1954
ਫਰਮਾ:Mod	Template:Mod
ਫਰਮਾ:Infobox Language/codelist	Template:Infobox language/codelist
ਫਰਮਾ:User it	Template:User it
ਫਰਮਾ:User uk	Template:User uk
ਫਰਮਾ:User es-2	Template:User es-2
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਫੁੱਟਬਾਲ ਕਲੱਬ	Template:Infobox football club
ਫਰਮਾ:ਜੀ ਆਇਆਂ ਨੂੰ	Template:Welcome
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਬੈਲਜੀਅਮ	Template:Country data Belgium
ਫਰਮਾ:Month header	Template:Month header
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਸਲੋਵਾਕੀਆ	Template:Country data Slovakia
ਫਰਮਾ:Country flagnavy	Template:Navy/core
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਏਕੁਆਦੋਰ	Template:Country data Ecuador
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਤੁਨੀਸੀਆ	Template:Country data Tunisia
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਚੈੱਕ ਗਣਰਾਜ	Template:Country data Czech Republic
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਥਾਈਲੈਂਡ	Template:Country data Thailand
ਫਰਮਾ:Lang-km	Template:Lang-km
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਇੰਡੋਨੇਸ਼ੀਆ	Template:Country data Indonesia
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਸੇਨੇਗਲ	Template:Country data Senegal
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਮਾਦਾਗਾਸਕਰ	Template:Country data Madagascar
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਅਲਬਾਨੀਆ	Template:Country data Albania
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਬਰਤਾਨਵੀ ਸਾਮਰਾਜ	Template:Country data British Empire
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਮਕਾਉ	Template:Country data Macau
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਸਾਨ ਮਰੀਨੋ	Template:Country data San Marino
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਚੀਨ ਗਣਰਾਜ	Template:Country data Republic of China
ਗੁਆਦੀਆਨਾ ਰੋਮਨ ਪੁਲ	Guadiana Roman bridge
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਲੀਖਟਨਸ਼ਟਾਈਨ	Template:Country data Liechtenstein
ਫਰਮਾ:ਮਹਾਂਦੀਪ-ਅਧਾਰਤ ਫਰਮੇ	Template:Continent-based templates
ਸ਼੍ਰੇਣੀ:ਭਾਸ਼ਾ ਵਿਗਿਆਨ	Category:Linguistics
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਹੈਤੀ	Template:Country data Haiti
ਫਰਮਾ:ਮਹੀਨੇ	Template:Months
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਮਾਲੀ	Template:Country data Mali
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਲਾਤਵੀਆ	Template:Country data Latvia
ਫਰਮਾ:Football kit	Template:Football kit
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਮਾਲਟਾ	Template:Country data Malta
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਮੋਨਾਕੋ	Template:Country data Monaco
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਸੇਂਟ ਕਿਟਸ ਅਤੇ ਨੇਵਿਸ	Template:Country data Saint Kitts and Nevis
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਡੈੱਨਮਾਰਕ	Template:Country data Denmark
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਆਈਸਲੈਂਡ	Template:Country data Iceland
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਪੋਲੈਂਡ	Template:Country data Poland
ਜੋਸਫ ਡੇਵੀ ਕਨਿੰਘਮ	Joseph Davey Cunningham
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵਿਨਾ	Template:Country data Bosnia and Herzegovina
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਗੁਇਆਨਾ	Template:Country data Guyana
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਨਾਰਵੇ	Template:Country data Norway
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ	Template:Country data South Africa
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਜਾਰਜੀਆ	Template:Country data Georgia
ਫਰਮਾ:Navbox suite	Template:Navbox suite
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਉਰੂਗੁਏ	Template:Country data Uruguay
ਫਰਮਾ:Image label	Template:Image label
ਫਰਮਾ:ਦਫ਼ਤਰੀ ਵੈੱਬਸਾਈਟ	Template:Official website
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਸ੍ਰੀਲੰਕਾ	Template:Country data Sri Lanka
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਯੂਨਾਨ	Template:Country data Greece
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਲਕਸਮਬਰਗ	Template:Country data Luxembourg
ਗੁੱਗੂ ਗਿੱਲ	Gugu Gill
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਡਾਟ-ਕਾਮ ਕੰਪਨੀ	Template:Infobox dot-com company
ਫਰਮਾ:Rotten-tomatoes	Template:Rotten Tomatoes
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਕਰੋਏਸ਼ੀਆ	Template:Country data Croatia
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਲਿਖਾਰੀ	Template:Infobox writer
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਟੀਵੀ	Template:Infobox television
ਫਰਮਾ:ਫ਼ਰਾਂਕਫ਼ੁਰਟ ਸਰਾਫ਼ਾ ਬਜ਼ਾਰ	Template:Frankfurt Stock Exchange
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਸੰਗੀਤ ਕਲਾਕਾਰ	Template:Infobox musical artist
ਫਰਮਾ:IUCN2008	Template:IUCN2008
ਫਰਮਾ:ਸੰਯੁਕਤ ਰਾਜ ਦੇ ਰਾਜਸੀ ਵਿਭਾਗ	Template:United States political divisions
ਫਰਮਾ:Period start	Template:Period start
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਸਰਬੀਆ	Template:Country data Serbia
ਫਰਮਾ:Collapsible list	Template:Collapsible list
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਆਸਟਰੇਲੀਆ	Template:Country data Australia
ਮੀਰ ਗੁਲ ਖ਼ਾਨ ਨਸੀਰ	Gul Khan Nasir
ਗੁਲਬਰਗ ਸੁਸਾਇਟੀ ਹੱਤਿਆਕਾਂਡ	Gulbarg Society massacre
ਫਰਮਾ:Ambox	Template:Ambox
ਗੁਲਜ਼ਾਰ ਸਿੰਘ ਸੰਧੂ	Gulzar Singh Sandhu
ਗੁੰਮਟੀ ਕਲਾਂ	Gumti Kalan
ਫਰਮਾ:ਕਿਰਿਆਸ਼ੀਲ ਸਮੂਹ	Template:Functional group
ਗੁਨਾਹੋਂ ਕਾ ਦੇਵਤਾ	Gunahon Ka Devta
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਗੀਤ	Template:Infobox anthem
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਸਕੂਲ	Template:Infobox school
ਫਰਮਾ:Fossil range/bar	Template:Fossil range/bar
ਫਰਮਾ:Userboxbottom	Template:Userboxbottom
ਗੁਰਬਚਨ ਸਿੰਘ ਤਾਲਿਬ	Gurbachan Singh Talib
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਸ਼ਤਰੰਜ ਖਿਡਾਰੀ	Template:Infobox chess biography
ਗੁਰਦਾਸਪੁਰ (ਲੋਕ ਸਭਾ ਚੋਣ-ਹਲਕਾ)	Gurdaspur (Lok Sabha constituency)
ਗੁਰਦਿਆਲ ਸਿੰਘ	Gurdial Singh
ਗੁਰਦਿਆਲ ਸਿੰਘ ਫੁੱਲ	Gurdial Singh Phul
ਗੁਰਦਿਆਲ ਸਿੰਘ ਢਿੱਲੋਂ	Gurdial Singh Dhillon
ਗੁਰਦੁਆਰਾ ਦੁਖ ਨਿਵਾਰਨ ਸਾਹਿਬ	Gurdwara Dukh Nivaran Sahib
ਫਰਮਾ:Rnd	Template:Rnd
ਗੁਰਮਤਿ ਸੰਗੀਤ	Gurmat Sangeet
ਗੁਰਪ੍ਰੀਤ ਘੁੱਗੀ	Gurpreet Ghuggi
ਗੁਰਪ੍ਰੀਤ ਸਿੰਘ ਲਹਿਲ	Gurpreet Singh Lehal
ਗੁਰਪੁਰਬ	Gurpurb
ਗੁਰਸ਼ਰਨ ਕੌਰ	Gursharan Kaur
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਵੈਟਨਰੀ ਅਤੇ ਐਨੀਮਲ ਸਾਇੰਸਜ਼ ਯੂਨੀਵਰਸਿਟੀ	Guru Angad Dev Veterinary and Animal Sciences University
ਗੁਰੂ ਗੋਬਿੰਦ ਸਿੰਘ ਮਾਰਗ	Guru Gobind Singh Marg
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਥਰਮਲ ਪਲਾਂਟ	Guru Nanak Dev Thermal Plant
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਯੂਨੀਵਰਸਿਟੀ	Guru Nanak Dev University
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਸੰਯੁਕਤ ਰਾਸ਼ਟਰ	Template:Infobox United Nations
ਗੁਰਵਿੰਦਰ ਸਿੰਘ	Gurvinder Singh
ਗੁਰਵਿੰਦਰ ਸਿੰਘ ਚੰਦੀ	Gurwinder Singh Chandi
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਆਸਟਰੇਲੀਆਈ ਥਾਂ	Template:Infobox Australian place
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਦੇਸ਼	Template:Infobox country
ਫਰਮਾ:Max	Template:Max
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਸਾਫ਼ਟਵੇਅਰ	Template:Infobox software
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਆਸਟਰੀਆ	Template:Country data Austria
ਫਰਮਾ:Collapsible option	Template:Collapsible option
ਫਰਮਾ:FlagIOCmedalist	Template:FlagIOCmedalist
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਫ਼ੌਜੀ ਟੱਕਰ	Template:Infobox military conflict
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਨੇਪਾਲ	Template:Country data Nepal
ਫਰਮਾ:Pagelist	Template:Pagelist
ਫਰਮਾ:Documentation/docname	Template:Documentation/docname
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਫ਼ਿਨਲੈਂਡ	Template:Country data Finland
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਲਿਥੁਆਨੀਆ	Template:Country data Lithuania
ਫਰਮਾ:Infobox political party	Template:Infobox political party
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਜਪਾਨ	Template:Country data Japan
ਫਰਮਾ:Lang-tk	Template:Lang-tk
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਨੀਦਰਲੈਂਡ	Template:Country data Netherlands
ਫਰਮਾ:Navbox with columns	Template:Navbox with columns
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਫ਼ਿਰਔਨ	Template:Infobox pharaoh
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਵੀਡੀਓ ਖੇਡ	Template:Infobox video game
ਫਰਮਾ:Country IOC alias SLO	Template:Country IOC alias SLO
ਫਰਮਾ:Nom	Template:Nom
ਫਰਮਾ:ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੀ ਮੈਡਲ ਲਿਸਟ	Template:Olympic Games medal table
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਕੈਨੇਡੀਆਈ ਸੂਬਾ ਜਾਂ ਰਾਜਖੇਤਰ	Template:Infobox province or territory of Canada
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ ਵਿਗਿਆਨੀ	Template:Infobox scientist
ਫਰਮਾ:ਵਿਕੀਬੁਕਸ	Template:Wikibooks
ਫਰਮਾ:Image	Template:Image
ਤੁਸ਼ਾਰ ਗਾਂਧੀ	Tushar Gandhi
ਸ਼੍ਰੇਣੀ:ਤੁਰਕੀ ਕਵੀ	Category:Turkish poets
ਫਰਮਾ:Xpd	Template:Xpd
ਫਰਮਾ:Lang-ar	Template:Lang-ar
ਫਰਮਾ:ਖ਼ਬਰ ਦਾ ਹਵਾਲਾ	Template:Cite news
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਵੀਅਤਨਾਮ	Template:Country data Vietnam
ਫਰਮਾ:Featured article	Template:Featured article
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਰੂਸ	Template:Country data Russia
ਫਰਮਾ:ਡੱਬਾ-ਸਿਰਲੇਖ	Template:Box-header
ਫਰਮਾ:ਜਾਣਕਾਰੀਡੱਬਾ	Template:Infobox
ਫਰਮਾ:ਇਰਾਨ ਦੇ ਸੂਬੇ	Template:Provinces of Iran
ਫਰਮਾ:Table	Template:Table
ਫਰਮਾ:Main other	Template:Main other
ਫਰਮਾ:Lang-uz	Template:Lang-uz
ਫਰਮਾ:RankedMedalTable	Template:RankedMedalTable
ਫਰਮਾ:User zh	Template:User zh
ਫਰਮਾ:Lang-kz	Template:Lang-kk
ਫਰਮਾ:Limited overs matches	Template:Single-innings cricket match
ਐਚ ਐਮ ਨਕਵੀ	H. M. Naqvi
ਐਚ ਐਸ ਫੂਲਕਾ	H. S. Phoolka
ਫਰਮਾ:Template other	Template:Template other
ਫਰਮਾ:Lang-bg	Template:Lang-bg
ਹਾਸਿਲ ਘਾਟ	Haasil Ghaat
ਹਬੀਬ ਜਾਲਿਬ	Habib Jalib
ਫਰਮਾ:Lang-no	Template:Lang-no
ਫਰਮਾ:ਫੀਫਾ ਵਿਸ਼ਵ ਕੱਪ	Template:FIFA World Cup
ਫਰਮਾ:Non-free character	Template:Non-free character
ਫਰਮਾ:ਦੇਸ਼ ਸਮੱਗਰੀ ਇਟਲੀ	Template:Country data Italy
ਹਫ਼ਤ ਔਰੰਗ	Haft Awrang
