Aafrika	Africa
Degron	Degron
Keha ja vaimu dualism	Dualism (philosophy of mind)
Delicious	Delicious (Jeanette album)
Fulleri pruulikoda	Fuller's Brewery
Ferriitsüdamik	Ferrite core
Delovõje Vedomosti	Delovõje Vedomosti
Delta Gamma	Delta Gamma
Robert Merrihew Adams	Robert Merrihew Adams
Vikipeedia:Lingid	Help:Link
Auhind	Prize
Deniss Karpak	Deniss Karpak
Aa jõgi	Aa River
Dennis Drew	Dennis Drew
Depressiivne realism	Depressive realism
Baskerville'ide koer (film)	Der Hund von Baskerville
TV3 (Norra)	TV3 (Norway)
Detektiiv Braun	Detektiv Braun
Deuteronomium	Deuteronomium
Arengukava	Development plan
Info- ja kommunikatsioonitehnoloogia	Information and communications technology
Diakroonia (keeleteadus)	Diachronic
Dialoogsüsteem	Dialog system
Teemant (film)	Diamant (film)
Mall:Cc-zero	Template:Cc-zero
Ameerika Ühendriikide Farmakopöa	United States Pharmacopeia
Dick Smith	Dick Smith
Quland	Qowland
Vähendatud kvart	Diminished fourth
Vähendatud oktav	Diminished octave
Vähendatud sekund	Diminished second
Vähendatud sekst	Diminished sixth
Must eebenipuu	Diospyros ebenum
Heitunu	Discouraged worker
Diskursiivsus	Discursive
Alalõualuu	Mandible
Džoomart Otorbajev	Djoomart Otorbaev
Dmitri Pavlov (täpsustus)	Dmitri Pavlov
Dole mõis	Dole Manor
Dominanthelistik	Dominant key
Don Henrie	Don Henrie
Don Keefer	Don Keefer
Donald Preziosi	Donald Preziosi
Dorion Sagan	Dorion Sagan
Doris Akers	Doris Akers
Seljakilbis	Dorsal scales
Douglas Winston	Douglas Winston
Jõevõrgu tihedus	Drainage density
Rahvusvaheline õnnepäev	International Day of Happiness
Professor Martensi ärasõit	Professor Martens' Departure
Varauusaeg	Early modern period
Tüüringi hertsogkond	Duchy of Thuringia
Mall:Lisa viide	Template:Citation needed
Gotlandi hertsog	Duke of Gotland
Dundaga piiskopilinnus	Dundaga Castle
Durbe mõis	Durbe Manor
Välistavat võid kasutav vahetusalgoritm	XOR swap algorithm
Dyersville	Dyersville, Colorado
Dymi võrrand	Dym equation
Seenelkäik	Mushrooming (film)
Uus Maailm (film 2011)	The New World (2011 film)
Dyslexie	Dyslexie
Dzelzava mõis	Dzelzava Manor
Dzelzava	Dzelzava
E. Harold Munn	E. Harold Munn
Disainer	Designer
E263	E263
ECREA	ECREA – European Communication Research and Education Association
EKKA	EKKA
EMTA (täpsustus)	EMTA
EMT	EMT (mobile operator)
Vapper	ENS Vapper (PVL-111)
ESATAp	ESATAp
ESTDCU	ESTDCU
EVR	EVR
Ea Jansen	Ea Jansen
Kategooria:Mäesuusatajad	Category:Alpine skiers
Kategooria:Tennis	Category:Tennis
Kategooria:Tennis olümpiamängudel	Category:Tennis at the Summer Olympics
East Hibbardi vald	East Hibbard Township, Kearny County, Kansas
Easy Rider	Easy Rider (disambiguation)
Tuulispask	Ebajalg
Ebolavirus	Ebolavirus
Ebony Eyes	Ebony Eyes
Tartu seiklused	The Adventures of Tartu
Ökoloogiline efektiivsus	Ecological efficiency
Ökosuhted	Ecological relationship
Majanduslik heaolu	Economic welfare
Ökosemiootika	Ecosemiotics
Ökoloogiline taastamine	Ecosystem restoration
Atmosfäärifüüsika	Atmospheric physics
Edasi Kommunismile	Edasi Kommunismile
Turbulentse kovariatsiooni meetod	Eddy covariance
Edgar Gibson	Edgar Gibson
Edgar V. Saks	Edgar V. Saks
Kõrvits (perekond)	Cucurbita
Edmund Niziurski	Edmund Niziurski
Eduard Ole	Eduard Ole
Edvard Moser	Edvard Moser
Edvarts Virza	Edvarts Virza
Edward A. Kawananakoa	Edward A. Kawānanakoa
Edward Griffin	Edward Griffin
Edward Maufe	Edward Maufe
Edwin Bret Hart	Edwin B. Hart
Een danstragedie	Een danstragedie
Eerik Kumari looduskaitsepreemia	Eerik Kumari Award
Eerikukivi	Eerikukivi
Eero Endjärv	Eero Endjärv
Eero Loone	Eero Loone
Eero Palm	Eero Palm
Eesti Aeg	Eesti Aeg
Eesti Energia Tehnoloogiatööstus AS	Eesti Energia Tehnoloogiatööstus
Eesti kullafond (Singer Vinger)	Eesti Kullafond: Singer Vinger
Eesti Orienteerumisliit	Eesti Orienteerumisliit
Eesti Raadioamatööride Ühing	Eesti Raadioamatööride Ühing
Eesti Skautide Ühing	Eesti Skautide Ühing
Eesti mõttelugu	Eesti mõttelugu
Eesti otsib superstaari (neljas hooaeg)	Eesti otsib superstaari (season 4)
Eesti otsib superstaari (viies hooaeg)	Eesti otsib superstaari (season 5)
Eesti talent	Eesti talent
Eesti Üleüldise teaduse raamat	Eesti Üleüldise teaduse raamat ehk encyklopädia konversationi-lexikon
Kategooria:Tšehhi mäestikud	Category:Mountain ranges of the Czech Republic
Efraim Allsalu	Efraim Allsalu
Egon Kaur	Egon Kaur
Eha Rünne	Eha Rünne
Kaheksa hullu kuninga laulu	Eight Songs for a Mad King
El Tucuche	El Tucuche
Nylon Beat	Nylon Beat
Elaine Feinstein	Elaine Feinstein
Eldredge	Eldredge, Colorado
2014. aasta Eurovisiooni lauluvõistlus	Eurovision Song Contest 2014
Elektroonikatööstus	Electronics industry
Elering	Elering
Elfyn Evans	Elfyn Evans
Nutikell	Smartwatch
Portaal:Biograafiad	Portal:Biography
Ellen Pettitt	Ellen Pettitt
Ellina Anissimova	Ellina Anissimova
Elmar Liitmaa	Elmar Liitmaa
Elmar Lohk	Elmar Lohk
Elmar Muuk	Elmar Muuk
Elmar Reiman	Elmar Reimann
Elmar Tampõld	Elmar Tampõld
Elven	Elven
Ely vald	Ely Township, Michigan
EmDrive	EmDrive
Emanuele Fuamatu	Emanuele Fuamatu
Ukraina Suursaatkond Eestis	Embassy of Ukraine, Tallinn
Kehastus	Embodiment
Emil Urbel	Emil Urbel
Kategooria:Zimbabwe tennisistid	Category:Zimbabwean tennis players
Kategooria:Ameerika Ühendriikide tennisistid	Category:American tennis players
Kategooria:Eesti tennisistid	Category:Estonian tennis players
Kategooria:Venemaa tennisistid	Category:Russian tennis players
Kategooria:Ungari tennisistid	Category:Hungarian tennis players
Kategooria:Tšehhoslovakkia tennisistid	Category:Czechoslovak tennis players
Kategooria:Tšehhi tennisistid	Category:Czech tennis players
Kategooria:Taani tennisistid	Category:Danish tennis players
Kategooria:Šveitsi tennisistid	Category:Swiss tennis players
Kategooria:Soome tennisistid	Category:Finnish tennis players
Kategooria:Slovakkia tennisistid	Category:Slovak tennis players
Kategooria:Serbia tennisistid	Category:Serbian tennis players
Kategooria:Saksamaa tennisistid	Category:German tennis players
Kategooria:Rootsi tennisistid	Category:Swedish tennis players
Kategooria:Prantsusmaa tennisistid	Category:French tennis players
Kategooria:Läti tennisistid	Category:Latvian tennis players
Kategooria:Horvaatia tennisistid	Category:Croatian tennis players
Kategooria:Kreeka tennisistid	Category:Greek tennis players
Kategooria:Hiina tennisistid	Category:Chinese tennis players
Empress of the North	American Empress
Emuõli	Emu oil
Endel Aruja	Endel Aruja
Endel Laas	Endel Laas
Endless Love	Endless Love (Jeanette song)
Kárášjohka	Karasjok (village)
Kategooria:Jaapani tennisistid	Category:Japanese tennis players
Kategooria:Itaalia tennisistid	Category:Italian tennis players
Kategooria:Iisraeli tennisistid	Category:Israeli tennis players
Kategooria:Lõuna-Aafrika Vabariigi tennisistid	Category:South African tennis players
Kategooria:Hispaania tennisistid	Category:Spanish tennis players
Kategooria:Bulgaaria tennisistid	Category:Bulgarian tennis players
Kategooria:Suurbritannia tennisistid	Category:British tennis players
Kategooria:Bosnia ja Hertsegoviina tennisistid	Category:Bosnia and Herzegovina tennis players
Kategooria:Austraalia tennisistid	Category:Australian tennis players
Kategooria:Argentina tennisistid	Category:Argentine tennis players
Kategooria:Hollandi tennisistid	Category:Dutch tennis players
Kategooria:Iirimaa tennisistid	Category:Irish tennis players
Kategooria:Tšiili tennisistid	Category:Chilean tennis players
Kategooria:Belgia tennisistid	Category:Belgian tennis players
Kategooria:System of a Down	Category:System of a Down
Kategooria:Linkin Park	Category:Linkin Park
Enn Kokk	Enn Kokk
Enn Rajasaar	Enn Rajasaar
Enn Sellik	Enn Sellik
Enn Soosaar	Enn Soosaar
Enn Tarto	Enn Tarto
Enrique Pinti	Enrique Pinti
Keskkonnasertifitseerimine	Environmental certification
Põllumajanduse mõju keskkonnale	Environmental impact of agriculture
Man in Black	Man in Black
Ensümaatiline hüdrolüüs	Enzymatic hydrolysis
Tüümuse epiteeli retikulaarrakud	Epithelial reticular cell
Pan	Pan
Takehiko Nakao	Takehiko Nakao
Vaikiv ajastu	Era of Silence
Erich Pehap	Eric Pehap
Erich Kukk	Erich Kukk
Erik Aadahl	Erik Aadahl
Erki	Erki
Erkki Bahovski	Erkki Bahovski
Erkki Savolainen	Erkki Savolainen
Erko Saviauk	Erko Saviauk
Kooder	Encoder
Ernő Koch	Ernő Koch
Kombitsmadu (perekond)	Erpeton
Æbleskiver	Æbleskiver
Ersa kirjandus	Erzya literature
Eshel Ben-Jacob	Eshel Ben-Jacob
Reservaat	Indian reservation
EstDomains	EstDomains
EstWin	EstWin
Kategooria:Lipumallid	Category:Flag templates
33. Kaitsepataljon	Estnische Schutzmannschafts Abteilung 33
Eesti sõprade rahvusvaheline kokkutulek	Estonia's Friends International Meeting
Eesti Aktuaaride Liit	Estonian Actuarial Society
Eesti Gerontoloogia ja Geriaatria Assotsiatsioon	Estonian Association of Gerontology and Geriatrics
Eesti Biokeskus	Estonian Biocentre
Eesti Kaubandus-Tööstuskoda	Estonian Chamber of Commerce and Industry
Politsei- ja Piirivalveameti piirivalveosakond	Estonian Border Guard
Eesti kodanike komiteed	Estonian Citizens' Committees
Eesti Kultuurfilm	Estonian Culture Film
Eesti Filmi Sihtasutus	Estonian Film Foundation
Tartu Ülikooli Eesti Geenivaramu	Estonian Genome Project
Eesti Maja	Estonian House
Eesti Infotehnoloogia Kolledž	Estonian Information Technology College
Zooloogia ja Botaanika Instituut	Estonian Institute of Zoology and Botany
Eesti Liberaaldemokraatlik Partei	Estonian Liberal Democratic Party
Maa-amet	Estonian Land Board
Anton (eesnimi)	Anton (given name)
Veeteede Amet	Estonian Maritime Administration
Eesti Meteoroloogia ja Hüdroloogia Instituut	Estonian Meteorological and Hydrological Institute
Eesti Rahvusnõukogu	Estonian National Council in Sweden
Eesti Looduseuurijate Selts	Estonian Naturalists' Society
Eestimaa Looduse Fond	Estonian Nature Fund
Eesti Rahvuslik Liikumine	Estonian Patriotic Movement
Piraadipartei (Eesti)	Pirate Party (Estonia)
Eesti politsei	Estonian Police
Punklaulupidu	Estonian Punk Song Festival
Eesti maalammas	Estonian Ruhnu sheep
Eesti Piirikaitserügement Tallinn	Estonian Regiment "Reval"
Eesti Diplomaatide Kool	Estonian School of Diplomacy
Päästeamet	Estonian Rescue Board
Estonian Record Productions	Estonian Record Productions
Eesti Omavalitsus	Estonian Self-Administration
ESTSOF	Estonian Special Operations Force
Deklaratsioon Eesti NSV suveräänsusest	Estonian Sovereignty Declaration
Eesti Noorsotsialistlik Liit	Estonian Young Socialist League
Eesti rahvaluule	Estonian folklore
Eesti keele grammatika	Estonian grammar
Referendum Eesti Vabariigi iseseisvuse taastamise küsimuses	Estonian independence referendum, 1991
1992. aasta Eesti presidendivalimised	Estonian presidential election, 1992
1992. aasta põhiseaduse referendum	Estonian referendum, 1992
Kergejõustiku Eesti rekordid	Estonian records in athletics
Meremehe teenistusraamat	Estonian seafarer's discharge book
Eesti reisidokumendid	Estonian travel documents
Nimede eestistamine	Estonianization
Estofiil	Estophilia
Lendav taldrik	Flying saucer
Kategooria:Sudaani asulad	Category:Populated places in Sudan
Etna-Troy vald	Etna-Troy Township, Whitley County, Indiana
Taani nimi	Etymology of Denmark
Mall:!-	Template:!-
Mall:!!	Template:!!
Mall:Navbar	Template:Navbar
Mall:Loop	Template:Loop
Mall:Void	Template:Void
Euleri-Tricomi võrrand	Euler–Tricomi equation
Mall:0	Template:0
Mall:Unicode	Template:Unicode
Kategooria:Vormindamise mallid	Category:Wikipedia formatting and function templates
Mall:Overline	Template:Overline
Mall:Transclude	Template:Transclude
Usk	Faith
Mall:E	Template:E
Mall:Kapiteel	Template:Smallcaps
Euratomi leping	Euratom Treaty
Euroakadeemia	Euroacademy
Mall:Puhasta	Template:Clear
Mall:Veerg-piir	Template:Col-break
Mall:Veerg-algus	Template:Col-begin
Mall:Veerg-lõpp	Template:Col-end
Township 4 (Harperi maakond)	Township 4, Harper County, Kansas
ELi avatud andmete portaal	EU Open Data Portal
Mall:Murdmata	Template:Nowrap
Mall:Bots	Template:Bots
ENIC	European Network of Information Centres
Mall:Ankur	Template:Anchor
European Psychologist	European Psychologist
ESSSAT	European Society for the Study of Science and Theology
Jõudude tasakaal Euroopas	European balance of power
R-klassi patrull-laev	R-class patrol boat
Harilik mustikas	Vaccinium myrtillus
Evansi sinine	Evans blue
Evelin Talts	Evelin Talts
Detsember 2014	December 2014
Olemasoluväärtus	Existence value
Exitfilm	Exitfilm
Eksopolüsahhariidid	Exopolysaccharide
Ekspressivism	Expressivism
Välised salvestusseadmed	External storage
Väljasuremiskünnis	Extinction threshold
Ressursikaitseala	Extractive reserve
FC Flora II	FC Flora II
Põlva Lootos	Põlva FC Lootos
FC M.C. Tallinn	FC M.C. Tallinn
FC Nõmme United	FC Nõmme United
Tallinna FC Olympic	FC Olympic Tallinn
2015. aasta korvpalli Euroopa meistrivõistluste valikturniir	FIBA EuroBasket 2015 qualification
FOXN1	FOXN1
Face Off ("Halvale teele")	Face Off (Breaking Bad)
Fakultatiivne parasiit	Facultative parasite
Fääri saarte ja Euroopa Liidu suhted	Faroe Islands and the European Union
Eesti loomastik	Fauna of Estonia
Kinnisasi	Immovable property
Kategooria:Leedu sportlased	Category:Lithuanian sportspeople
Kategooria:Leedu kergejõustiklased	Category:Lithuanian athletes
Eesti Üliõpilaskondade Liit	Federation of Estonian Student Unions
Felix Kibbermann	Feliks Kibbermann
Ferdinand Albrecht	Ferdinand Albert
Lahus	Solution
Finn Andersen	Finn Andersen
Finn Aabye	Finn Aabye
Fiona Sampson	Fiona Sampson
Fitbit	Fitbit
Painduv ekraan	Flexible display
Mall:Keskele	Template:Center
Vikipeedia:Oluliste artiklite loend	Wikipedia:Vital articles
Kategooria:Aafrika	Category:Africa
Kategooria:Elektroonika	Category:Electronics
Kategooria:Külad	Category:Villages
Kategooria:Piibel	Category:Bible
Kategooria:Ameerika Ühendriikide televisiooninäitlejad	Category:American television actors
Kategooria:Raamatud	Category:Books
Mall:Vikitekstid	Template:Wikisource
Mall:Babel	Template:Babel
Mall:LAV	Template:Administrative divisions of South Africa
Mall:Commons	Template:Commons
Fluktuatsioon	Fluctuation
Mall:Viited	Template:Reflist
Kategooria:Austraalia telenäitlejad	Category:Australian television actors
Orienteerumisjooks	Foot orienteering
Inimressurss	Human resources
Forsvaret	Forsvaret
Forsythi vald	Forsyth Township, Michigan
Kategooria:Elektrotehnika	Category:Electrical engineering
Fort Utah	Fort Utah
IV liiga	IV liiga
Kentaro Sato	Kentaro Sato
Kategooria:Filminäitlejad	Category:Film actors
Frantsiisileping	Franchise agreement
Kristjan Sarv	Kristjan Sarv
Francis Naali	Francis Robert Naali
Franciscus Sylvius (teoloog)	Francis Sylvius
Programmeerija	Programmer
Mall:Oscar	Template:Academy Awards
Kategooria:Dermatoloogia	Category:Dermatology
Frank Packard	Frank L. Packard
Frankia alni	Frankia alni
Franklin Alberger	Franklin A. Alberger
Loe	Northwest
Franklini ahelik	Franklin Range
Kategooria:Vikiprojektid	Category:WikiProjects
Sk	Franz Krull Sk class
Korporatsioon Fraternitas Liviensis	Fraternitas Liviensis
Fredegunde, Neustria kuninganna	Fredegunde, Neustria kuninganna
Getulio Aurelio Fredo	Getúlio Fredo
Ameetrilisus	Free time (music)
Bombieri-Friedlanderi-Iwanieci teoreem	Friedlander–Iwaniec theorem
Friedrich, Anhalti prints	Friedrich, Hereditary Prince of Anhalt
Friedrich S. Rothschild	Friedrich S. Rothschild
Friedrichshafen FF.41	Friedrichshafen FF.41
Frog Jump	Frog Jump, Tennessee
Laubakilbis	Frontal scale
Eesvokaalid	Front vowel
Fruit of Islam	Fruit of Islam
Fruita koolimaja	Fruita Schoolhouse
Fruitvale (Fresno maakond)	Fruitvale, Fresno County, California
Fruitvale (Tennessee)	Fruitvale, Tennessee
Fruitvale (Kerni maakond)	Fruitvale, Kern County, California
Futa Helu	Futa Helu
Galleri Rom	Galleri Rom
Galloxi sild	Gallox Bridge, Dunster
Vikipeedia:Viitamine	Wikipedia:Citing sources
Gary Fanelli	Gary Fanelli
Vikipeedia:Otsimine	Help:Searching
Leivud	Gauja Estonians
Atsele ordulinnus	Gaujiena Castle
Gaute Kivistik	Gaute Kivistik
Mall:Rahvaste Ühendus	Template:The Commonwealth
Kaitseväe peastaap	General Staff of the Estonian Defence Forces
Geneetiliselt muundatud hiir	Genetically modified mouse
Kategooria:Ajaloolised perioodid	Category:Historical eras
Geokronomeetria	Geochronometry
Georg (film)	Georg (film)
Georg Baumann	Georg Baumann
Georg Eberhardt	Georg Eberhardt
Georg Trašanov	Georg Trašanov
George Amos Dorsey	George Amos Dorsey
George A. Bartholomew	George A. Bartholomew
George Bartholomew	George Bartholomew (inventor)
Mall:User af-1	Template:User af-1
Mall:User ar-1	Template:User ar-1
Mall:User ast-1	Template:User ast-1
Mall:User az	Template:User az
Mall:User eo-1	Template:User eo-1
Mall:Vaata ka	Template:See also
Mall:User da-2	Template:User da-2
Mall:User da	Template:User da
Mall:User ca-1	Template:User ca-1
Kategooria:Arvuti mälu	Category:Computer memory
George Gaskell	George Gaskell
George H. Wells	George H. Wells
George Hamilton-Gordon	George Hamilton Gordon
Mall:User be-2	Template:User be-2
Mall:User da-1	Template:User da-1
Mall:User cs-1	Template:User cs-1
Mall:User bg-1	Template:User bg-1
Mall:User eo-3	Template:User eo-3
Mall:User de	Template:User de
Mall:User de-1	Template:User de-1
Mall:User eu	Template:User eu
Mall:User et-1	Template:User et-1
Mall:User el	Template:User el
Mall:User es	Template:User es
Mall:User de-3	Template:User de-3
Mall:User en-3	Template:User en-3
George Sadowsky	George Sadowsky
Mall:User el-1	Template:User el-1
Mall:User en-1	Template:User en-1
Mall:User en-2	Template:User en-2
Mall:User eo-2	Template:User eo-2
Mall:User en-4	Template:User en-4
Mall:User fi	Template:User fi
Georgi Bliznaški	Georgi Bliznashki
Mall:User en	Template:User en
Mall:User de-2	Template:User de-2
Mall:User es-1	Template:User es-1
Mall:User fa	Template:User fa
Georgica	Georgica (film)
Georgie Glen	Georgie Glen
Mall:User fi-1	Template:User fi-1
Mall:User fr-1	Template:User fr-1
Gerard Bond	Gerard C. Bond
Kategooria:Ameerika Ühendriikide kultuur	Category:American culture
Kategooria:Kultuur riigiti	Category:Culture by nationality
Kategooria:Afganistani kultuur	Category:Afghan culture
Gerhard Johann von Löwenwolde	Gerhard Johann von Löwenwolde
Kategooria:Elu	Category:Life
Germaani mütoloogia	Germanic mythology
Fraseologism	Phraseme
Saksamaa 2014. aasta taliolümpiamängudel	Germany at the 2014 Winter Olympics
Gert Dorbek	Gert Dorbek
Castelnau hiiglane	Giant of Castelnau
Spermatogoon	Spermatogonium
Gilbert Laing Meason	Gilbert Laing Meason
Girma Yohannis Iyasu	Girma Yohannis Iyasu
Gjerstad (täpsustus)	Gjerstad (disambiguation)
Mall:User gl-1	Template:User gl-1
Mall:User he-1	Template:User he-1
Mall:User hu	Template:User hu
Klaaspärlimäng (festival)	Glasperlenspiel Music Festival
Mall:User it-3	Template:User it-3
Mall:User grc-1	Template:User grc-1
Mall:User sk	Template:User sk
Mall:User tr-2	Template:User tr-2
Mall:User fr-2	Template:User fr-2
Mall:User tr	Template:User tr
Mall:User ja	Template:User ja
Mall:User ja-1	Template:User ja-1
Mall:User it-1	Template:User it-1
Mall:User hr-1	Template:User hr-1
Mall:User fr	Template:User fr
Glenn Greenwald	Glenn Greenwald
Globaalne Noor Akadeemia	Global Young Academy
Ragnar Berg	Ragnar Berg
Mall:Allkirjata	Template:Unsigned
Haga loss	Haga Palace
Kategooria:Leedu omavalitsused	Category:Municipalities of Lithuania
Kuldliiga	Golden League
Mall:User he	Template:User he
Goran Simić	Goran Simić (poet)
John Broome	John Broome (philosopher)
Bahama kindralkuberneride loend	Governor-General of the Bahamas
Govinda Chandra Dev	Govinda Chandra Dev
Graball	Graball, Gibson County, Tennessee
Grady McWhiney	Grady McWhiney
Suurjooks ümber Viljandi järve	Grand Race around Lake Viljandi
Graafi kanooniline esitus	Graph canonization
Grafonoomika	Graphonomics
Kategooria:Namiibia kultuur	Category:Namibian culture
Surnuaiavahi tütar	Graveyard Keeper's Daughter
Kategooria:Turism	Category:Tourism
Kategooria:Juuksed	Category:Hair
Green Grass of Tunnel	Green Grass of Tunnel
Kategooria:Pseudoteadused	Category:Pseudoscience
Roheline kasv	Green growth
Kategooria:1957	Category:1957
Kategooria:1949	Category:1949
Gregory Currie	Gregory Currie
Kategooria:1927	Category:1927
Kategooria:1919	Category:1919
Mall:Asendikaart/Info	Template:Location map/Info
Kategooria:Neuroteadlased	Category:Neuroscientists
Karihiir	Sorex
Kategooria:Navigeerimismallid	Category:Navigational boxes
Kategooria:Putukad	Category:Insects
Walter Christaller	Walter Christaller
Aastad muusikas	Timeline of musical events
Mall:Euroopa kultuuripealinnad	Template:European Capital of Culture
Gringode kultuur	Gringode Kultuur
Kategooria:Köln	Category:Cologne
Kategooria:Moldova	Category:Moldova
Kategooria:Aserbaidžaan	Category:Azerbaijan
Kategooria:Dünastiad	Category:Dynasties
Mall:JK koosseis kesk	Template:Football squad mid
Kategooria:Aasia	Category:Asia
Kategooria:Tšiili	Category:Chile
Kategooria:Lõuna-Aafrika Vabariigi provintsid	Category:Provinces of South Africa
Kategooria:21. sajand	Category:21st century
Kategooria:Lesotho	Category:Lesotho
Kategooria:User uk	Category:User uk
Kategooria:Lõuna-Ameerika	Category:South America
Kategooria:Castilla-León	Category:Castile and León
Kategooria:1930	Category:1930
Kategooria:User uk-N	Category:User uk-N
Kategooria:1936	Category:1936
Kategooria:1947	Category:1947
Mall:Keeruline mall	Template:Intricate template
Kategooria:1937	Category:1937
Kategooria:1940	Category:1940
Kategooria:1934	Category:1934
Kategooria:1960	Category:1960
Kategooria:1943	Category:1943
Kategooria:1951	Category:1951
Kategooria:1942	Category:1942
Kategooria:Itaalia maakonnad	Category:Regions of Italy
Kategooria:1959	Category:1959
Kategooria:1938	Category:1938
Kategooria:1928	Category:1928
Kategooria:1913	Category:1913
Kategooria:1918	Category:1918
Kategooria:1954	Category:1954
Kategooria:Malaisia	Category:Malaysia
Kategooria:1941	Category:1941
Kategooria:1955	Category:1955
Kategooria:1950	Category:1950
Kategooria:Toidud	Category:Foods
Kategooria:1921	Category:1921
Kategooria:1977	Category:1977
Kategooria:1946	Category:1946
Kategooria:1948	Category:1948
Kategooria:1932	Category:1932
Mall:JK koosseis mängija	Template:Football squad player
Kategooria:Jalgpall	Category:Association football
Kategooria:1945	Category:1945
Mall:Mod	Template:Mod
Kategooria:1923	Category:1923
Kategooria:1935	Category:1935
Kategooria:1910	Category:1910
Kategooria:1917	Category:1917
Kategooria:1904	Category:1904
Kategooria:1926	Category:1926
Mall:NüüdCommonsis	Template:Now Commons
Kategooria:1907	Category:1907
Kategooria:1914	Category:1914
Mall:User sv	Template:User sv
Kategooria:1929	Category:1929
Kategooria:1920	Category:1920
Mall:User it	Template:User it
Kategooria:1925	Category:1925
Mall:User uk	Template:User uk
Kategooria:1905	Category:1905
Kategooria:1915	Category:1915
Mall:User es-2	Template:User es-2
Kategooria:Entsüklopeediad	Category:Encyclopedias
Kategooria:1908	Category:1908
Mall:Jalgpalliklubi	Template:Infobox football club
Mall:Teretulemast	Template:Welcome
Kategooria:1901	Category:1901
Kategooria:1903	Category:1903
Kategooria:1902	Category:1902
Kategooria:1900	Category:1900
Mall:Sõsarprojektid	Template:Wikipedia's sister projects
Mall:MNG	Template:First-level divisions of Mongolia
Kategooria:1933	Category:1933
Kategooria:1912	Category:1912
Kategooria:Kuu	Category:Moon
Kategooria:Inglismaa jalgpalliklubid	Category:Football clubs in England
Kategooria:Koordinaatidega mallid	Category:Coordinates templates
Kategooria:Hispaania jalgpalliklubid	Category:Football clubs in Spain
Kategooria:1952	Category:1952
Mall:Refend	Template:Refend
Mall:Premier League	Template:Premier League
Kategooria:Almanahhid	Category:Almanacs
Kategooria:Valgevene asulad	Category:Populated places in Belarus
Grüüne	Grüüne
Kategooria:Jalgpallialased navigeerimismallid	Category:Association football navigational boxes
Kategooria:Farmakoloogia	Category:Pharmacology
Kategooria:Organisatsioonid	Category:Organizations
Kategooria:Saksamaa jalgpalliklubid	Category:Football clubs in Germany
Kategooria:Keeleteadus	Category:Linguistics
Mall:Kuupäevad	Template:Months
Mall:Riietus	Template:Football kit
Mall:Ref	Template:Ref
Vahipataljon	Guard Battalion (Estonia)
Kategooria:Purjetajad	Category:Sailors
Theguardian.com	Theguardian.com
Kategooria:1911	Category:1911
Kategooria:1922	Category:1922
Kategooria:1924	Category:1924
Mall:Klikk	Template:Click
Mall:Prantsusmaa departemangud	Template:Departments of France
Kategooria:1906	Category:1906
Kategooria:Jalgpalliklubid	Category:Association football clubs
Mall:Cc-by-sa-3.0	Template:Cc-by-sa-3.0
Kategooria:Välislinkide mallid	Category:Link templates
Kategooria:Jalgpallimallid	Category:Association football templates
Mall:Wikivar	Template:Wikivar
Mall:OnNumber	Template:Isnumeric
Kategooria:User fr-1	Category:User fr-1
Mall:Kontserttuuri info	Template:Infobox concert tour
Guðjónssoni sugereeritavuse skaala	Gudjonsson suggestibility scale
Mall:VanaKalendriAeg	Template:OldStyleDate
Mall:Vikitsitaat	Template:Wikiquote
Mall:Image label	Template:Image label
Kategooria:Palestiina linnad	Category:Cities in the Palestinian territories
Kategooria:Riigihümnid	Category:National anthems
Kategooria:Meeleelundkond	Category:Sensory systems
Kategooria:2013. aasta spordis	Category:2013 in sports
Mall:Tõlgitud leht	Template:Translated page
Mall:Auto	Template:Infobox automobile
Kategooria:Jaanalinnulised	Category:Struthioniformes
Mall:Lennujaam	Template:Infobox airport
Mall:Telesaade	Template:Infobox television
Mall:FWB	Template:Frankfurt Stock Exchange
Mall:Geograafiline asukoht	Template:Geographic location
Guillermo Echevarría	Guillermo Echevarría
Mall:Muusikute info	Template:Infobox musical artist
Mall:Ameerika Ühendriikide poliitiline jaotus	Template:United States political divisions
Mall:Peidetav loend	Template:Collapsible list
Mall:Külgteemakast	Template:Sidebar
Mall:Infobox information appliance	Template:Infobox information appliance
Guirschi loss	Guirsch Castle
Mall:Saar	Template:Infobox islands
Mall:Jalgpallur 2	Template:Infobox football biography
Mall:Oodake	Template:In use
Mall:LBA	Template:Districts of Libya
Sälkorg	Gulch
Mall:Ambox	Template:Ambox
Mall:Ajakohasta	Template:Update
Kategooria:Põhiseadused	Category:Constitutions
Kategooria:Pistrikulised	Category:Falconiformes
Mall:Vaidlustatud	Template:Disputed
Mall:Haigla	Template:Infobox hospital
Holocaust and Genocide Studies	Holocaust and Genocide Studies
Mall:Kool	Template:Infobox school
Gunnar Grapsi Grupp	Gunnar Graps Group
Kategooria:Ameerika Ühendriikide ajalugu	Category:History of the United States
Mall:Fossiilide leiud/riba	Template:Fossil range/bar
Püssirohukelder	Gunpowder Cellar of Tartu
Gunther Kress	Gunther Kress
Mall:Lisaviiteid	Template:Refimprove
Mall:Userboxbottom	Template:Userboxbottom
Mall:BlokeeritudProxy	Template:Blocked proxy
Červonka	Červonka
Mall:VikiCommonsisse	Template:Copy to Wikimedia Commons
Mall:Rnd	Template:Rnd
Mall:NobelFüüsika	Template:Nobel Prize in Physics
