આફ્રિકા	Africa
હરપાલ ઝાલા	Harpal Zala
હરેલા ઉત્સવ	Harela
હાંસોટ	Hansot
હાજી અલારખિયા	Hajimahamad Allarakha
હાથીગઢ (તા. લીલીયા)	Hathigadh
કિર્તિ મંદિર, પોરબંદર	Kirti Mandir, Porbandar
રાયણ	Manilkara hexandra
જમ્મુ	Jammu Division
રથયાત્રા	Ratha-Yatra (Puri)
આનંદી ગોપાલ જોષી	Anandi Gopal Joshi
ખાખરા	Khakhra
બાદિયાન	Illicium verum
બટેટાવડાં	Batata vada
શ્રેણી:સ્ટબ	Category:Stubs
શ્રેણી:સંસ્કૃતિ	Category:Culture
સેપ્ટ યુનિવર્સિટી	CEPT University
કિર્તિ મંદિર, વડોદરા	Kirti Mandir, Vadodara
વિરાટ	Virata
શિશુપાલ	Shishupala
હનુમાન જયંતી	Hanuman Jayanti
કણ્ણૂર જિલ્લો	Kannur district
કુલ્લૂ જિલ્લો	Kullu district
સોલન જિલ્લો	Solan district
જામતાડા જિલ્લો	Jamtara district
શિમોગા જિલ્લો	Shimoga district
જામનગર જિલ્લો	Jamnagar district
અનંતનાગ જિલ્લો	Anantnag district
વડાપાવ	Vada pav
રાષ્ટ્રીય યુવા દિન	National Youth Day (India)
પંચશીલ નગર જિલ્લો	Sambhal district
દાંતા	Danta, Banaskantha
ડેવિડ બુન	David Boon
શૃંગ	Rishyasringa
દશાંશ સંખ્યા પ્રણાલી	Hindu–Arabic numeral system
પીપળો	Ficus religiosa
વિધાન સભા	Vidhan Sabha
ગિરિજા દેવી	Girija Devi
પ્રાણ (અભિનેતા)	Pran (actor)
સલીમ સુલેમાન	Salim–Sulaiman
વિશાલ-શેખર	Vishal–Shekhar
ઢાંચો:સૌરમંડળ	Template:Solar System table
સુરેશ વાડકર	Suresh Wadkar
કાવો (કાશ્મીરી ચ્હા)	Kahwah
ખંડેરાવ માર્કેટ	Khanderao Market
રાષ્ટ્રીય ગ્રામીણ રોજગાર બાહેધરી યોજના	National Rural Employment Guarantee Act 2005
રિપબ્લિકન પાર્ટી ઓંફ ઇન્ડિયા	Republican Party of India
આજનું અવતરણ	QOTD
શરદ પૂર્ણિમા	Sharad Purnima
પટ્ટાઈ	Harrier (bird)
સામો	Echinochloa colona
વિવેકાનંદ રોક મેમોરિયલ	Vivekananda Rock Memorial
મોહમ્મદ અઝહરુદ્દીન	Mohammad Azharuddin
વિરેન્દ્ર સેહવાગ	Virender Sehwag
આચાર્ય જગદીશચંદ્ર બોઝ ભારતીય વનસ્પતિ ઉદ્યાન	Acharya Jagadish Chandra Bose Indian Botanic Garden
અજિતનાથ	Ajitanatha
લક્ષ્મી વિલાસ મહેલ	Laxmi Vilas Palace, Vadodara
વિકિપીડિયા:HotCat	Wikipedia:HotCat
કુમારપાળ	Kumarpal
પાંચમ	Panchami
બોંગાઇગાંવ	Bongaigaon
કૈલાશ સત્યાર્થી	Kailash Satyarthi
જલાનુવર્તન	Hydrotropism
ચૌદસ	Chaturdashi
કોદરા	Paspalum scrobiculatum
ભારતના ઉપરાષ્ટ્રપતિ	List of Vice Presidents of India
રવિ શાસ્ત્રી	Ravi Shastri
તારા	Tara (Ramayana)
સામ પિત્રોડા	Sam Pitroda
યોગરાજસિંઘ	Yograj Singh
રોબિનસિંઘ	Robin Singh
અરશદ અય્યુબ	Arshad Ayub
સુરિન્દર ખન્ના	Surinder Khanna
સુલોચના (રામાયણ)	Sulochana (Ramayana)
આઠમ	Ashtami
નોમ	Navami
યશપાલ શર્મા	Yashpal Sharma
રોજર બિન્ની	Roger Binny
વ્યંકટપતિ રાજુ	Venkatapathy Raju
ગુજરાત વડી અદાલત	Gujarat High Court
નસ્લી વાડિયા	Nusli Wadia
સેવ ઉસળ	Misal Pav
ત્રિશૂલ	Trishula
ભદ્રનો કિલ્લો	Bhadra Fort
ભારતીય સામાન્ય ચૂંટણી, ૨૦૧૪	Indian general election, 2014
અસરાની	Asrani
બળવંતરાય મહેતા	Balwantrai Mehta
આશા પારેખ	Asha Parekh
ઢાંચો:Location map India Gujarat	Template:Location map India Gujarat
ઢાંચો:Location map India Jammu and Kashmir	Template:Location map India Jammu and Kashmir
વિજયનગર	Vizianagaram
પાવભાજી	Pav Bhaji
ભાલચંદ્ર નેમાડે	Bhalchandra Nemade
તુંગનાથ	Tungnath
રવિ પાક	Rabi crop
ખરીફ પાક	Kharif crop
બારસ	Dwadashi
તેરસ	Thrayodashi
ચોથ	Chaturthi
શબરી	Shabari
લચિત બોરફૂકન	Lachit Borphukan
સાતમ	Saptami
છઠ	Shashthi (day)
લક્કુંડી (કર્ણાટક)	Lakkundi
આમલકી એકાદશી	Amalaka Ekadashi
ઇજનેરી મહાવિદ્યાલય, પુણે	College of Engineering, Pune
કેવળ જ્ઞાન	Kevala Jnana
બાઘ ગુફાઓ	Bagh Caves
ગોવર્ધનરામ ત્રિપાઠી	Govardhanram Tripathi
રામદેવપીર	Ramdev Pir
દશમ	Dashami
બીજ	Dwitiya
પૂનમ	Purnima
રાષ્ટ્રીય મતદાતા દિવસ	National Voters' Day
પડવો	Prathama (day)
ત્રીજ	Tritiya
ભીમ	Bhima
ચિખલી, મહારાષ્ટ્ર	Chikhli, Maharashtra
ચાઇનીઝ માર્શલ આર્ટ્સ	Chinese martial arts
ઉત્તરાખંડી ફુત્કી	Western crowned warbler
લાઠી	Lathi, Gujarat
લોન્ગતલાઇ	Lawngtlai
અશોક કુમાર	Ashok Kumar
પૂજા ચોપરા	Pooja Chopra
સલગમ	Turnip
ઢાંચો:ઉક્તિ	Template:Quote
કેરી	Mangifera indica
દંતેવાડા	Dantewada
સર્જિયો માત્તારેલા	Sergio Mattarella
ઢાંચો:Location map Scotland	Template:Location map UK Scotland
યિંગકીયોંગ	Yingkiong
વિકિપીડિયા:પ્રબંધક	Wikipedia:Administrators
શ્રેણી:વ્યક્તિત્વ	Category:People
શ્રેણી:Pages with malformed coordinate tags	Category:Pages with malformed coordinate tags
શ્રેણી:કલા	Category:Arts
ઇજિપ્ત	Egypt
વિશ્વ હિમોફિલિયા દિવસ	World Federation of Hemophilia
બારપેટા	Barpeta
વિકિપીડિયા:સંદિગ્ધ શીર્ષક	Wikipedia:Disambiguation
વિકિપીડિયા:શ્રેણી	Wikipedia:Categorization
મહાગૌરી	Mahagauri
રવીન્દ્ર પ્રભાત	Ravindra Prabhat
દ્રષ્ટિ ધામી	Drashti Dhami
કણ્વ	Kanva
વિકિપીડિયા:વિકિપરિયોજના	Wikipedia:WikiProject
ઢાંચો:Bot	Template:Bot
વિકિપીડિયા:વિકિપીડિયા શું નથી	Wikipedia:What Wikipedia is not
કેનેડા	Canada
વિકિપીડિયા:પ્રકાશનાધિકાર	Wikipedia:Copyrights
રાજસ્થાની	Rajasthani people
વાલી	Vali (Ramayana)
એક્યુપ્રેસર	Anma
ચારણ	Charan
શ્રાદ્ધ	Śrāddha
શૈલપુત્રી	Shailaputri
વિકિપીડિયા:પ્રબંધકોનું સૂચનપટ	Wikipedia:Administrators' noticeboard
શ્રેણી:યુરોપ	Category:Europe
વિકિપીડિયા:વર્તમાન ઘટનાઓ	Portal:Current events
ઢાંચો:Documentation	Template:Documentation
શ્રેણી:રદ કરવા માટેના પાના	Category:Wikipedia deletion
એ.વી.એસ. રાજુ	AVS Raju
શ્રેણી:સભ્યોની ભાષાઓ	Category:Wikipedians by language
વિકિપીડિયા:પાયાના પાંચ સિદ્ધાંત	Wikipedia:Five pillars
વિકિપીડિયા:નિષ્પક્ષ દૃષ્ટિકોણ	Wikipedia:Neutral point of view
વિકિપીડિયા:પ્રારંભિક સંશોધન નહીં	Wikipedia:No original research
વિકિપીડિયા:નોંધનીયતા	Wikipedia:Notability
વિકિપીડિયા:બાહ્ય કડીઓ	Wikipedia:External links
વિકિપીડિયા:ઉચિત વપરાશ	Wikipedia:Non-free content
અરરિયા	Araria
વિકિપીડિયા:સહીઓ	Wikipedia:Signatures
વિકિપીડિયા:નોંધનીયતા (વ્યક્તિ કે લોકો)	Wikipedia:Notability (people)
વિકિપીડિયા:જીવંત વ્યક્તિઓનું જીવન ચરિત્ર	Wikipedia:Biographies of living persons
વિકિપીડિયા:સભ્યનામ નીતિ	Wikipedia:Username policy
મદદ:Footnotes	Help:Footnotes
અભય ભૂષણ	Abhay Bhushan
અદિતિ શર્મા	Aditi Sharma
એડ્લેબ્સ ઈમેજીકા થીમ પાર્ક	Adlabs Imagica
અમદાવાદ મ્યુનિસિપલ કોર્પોરેશન	Ahmedabad Municipal Corporation
અમદાવાદ શહેરી વિકાસ સત્તા મંડળ	Ahmedabad Urban Development Authority
અમદાવાદ સીટી તાલુકો	Ahmedabad city (tehsil)
આઈના મહેલ	Aina Mahal
અક્ક્લકુવા તાલુકો	Akkalkuwa
આલિયા ભટ્ટ	Alia Bhatt
અમૃત ઘાયલ	Amrut Ghayal
આનંદીબેન પટેલ	Anandiben Patel
અંતરા	Antara (music)
અપરા મહેતા	Apara Mehta
અરાલમ વન્ય જીવ અભ્યારણ્ય	Aralam Wildlife Sanctuary
કણ્ણૂર	Kannur
અરિહંત	Arihant (Jainism)
અરવિંદ ત્રિવેદી	Arvind Trivedi
આશ્રમ રોડ	Ashram Road
અઠવાલાઇન્સ	Athwalines
આત્મસિદ્ધિ	Atma Siddhi
ઔરંગાબાદ જન શતાબ્દી એક્સપ્રેસ	Aurangabad Jan Shatabdi Express
અરવિંદ આશ્રમ	Aurobindo Ashram
બાબુભાઈ જશભાઈ પટેલ	Babubhai J. Patel
ઢાંચો:Softredirect	Template:Soft redirect
ઢાંચો:Delete	Template:Db
બળવંતરાય ઠાકોર	Balwantray Thakore
લય	Bandish
જાન	Baraat
બરવાળા	Barwala, Botad
બાવળા તાલુકો	Bavla (tehsil)
બહુચરાજી	Becharaji
ઢાંચો:Please leave this line alone (sandbox heading)	Template:Sandbox heading
ભાગ મિલ્ખા ભાગ	Bhaag Milkha Bhaag
ભાદરણ	Bhadran
ભદ્રેસર (તા. મુન્દ્રા)	Bhadreshwar
મહારાજા ભગવતસિંહજી	Bhagvat Singh
ભવાઇ	Bhavai
ભોજા ભગત	Bhoja Bhagat
કબીર બીજક	Bijak
ન્યાયશાસ્ત્ર	Jurisprudence
બોરા ગુફાઓ	Borra Caves
શ્રેણી:ભાષાઓ	Category:Languages
શ્રેણી:વિકિપીડિયા	Category:Wikipedia
વિકિપીડિયા:General disclaimer	Wikipedia:General disclaimer
શ્રેણી:તૂટી ફાઈલ કડીઓને સાથે પાના	Category:Pages with missing files
વિકિપીડિયા:ટેમ્પ્લેટ સૂચનાઓ	Wikipedia:Template messages
ઢાંચો:Navbox	Template:Navbox
નર્મદા કેનાલ ટોપ સોલાર પાવર પ્રોજેક્ટ	Canal Solar Power Project
કાંગારુ	Kangaroo
ચંદ્રતાલ	Chandra Taal
ઢાંચો:Track listing	Template:Track listing
છબીલદાસ મહેતા	Chhabildas Mehta
છત્તીસગઢ એક્સપ્રેસ	Chhattisgarh Express
છૂંદો	Chhundo
ચીમનભાઈ પટેલ	Chimanbhai Patel
એર એશિયા ઇન્ડિયા	AirAsia India
ઢાંચો:Nutshell	Template:Nutshell
દાબેલી	Dabeli
દર્શન જરીવાલા	Darshan Jariwala
દિપક પુરી	Deepak Puri
ધનૌલ્ટી (મસૂરી)	Dhanaulti
ગૌરીશંકર જોશી 'ધૂમકેતુ'	Dhumketu
દિલીપ પરીખ	Dilip Parikh
દૂધપાક	Doodhpak
હળપતિ	Dubla
ઢાંચો:Tnavbar	Template:Navbar
ઢાંચો:Code	Template:Code
ઢાંચો:0	Template:0
ઢાંચો:Transclude	Template:Transclude
ઢાંચો:Small	Template:Small
ઢાંચો:Clear	Template:Clear
ઢાંચો:Col-break	Template:Col-break
ઢાંચો:Col-begin	Template:Col-begin
ઢાંચો:Col-end	Template:Col-end
ઢાંચો:Trim	Template:Trim
ઢાંચો:Nowrap	Template:Nowrap
ઢાંચો:Tooltip	Template:Abbr
ઢાંચો:Anchor	Template:Anchor
ફરસાણ	Farsan (food)
વિકિપીડિયા:દરેક ભાષાના વિકિપીડિયામાં હોય એવા પ્રારંભિક લેખોની યાદી	Wikipedia:Vital articles
શ્રેણી:આફ્રિકા	Category:Africa
શ્રેણી:જુલાઇ	Category:July
શ્રેણી:જૂન	Category:June
ઢાંચો:વિકિસ્રોત	Template:Wikisource
ઢાંચો:Babel	Template:Babel
ઢાંચો:Commons	Template:Commons
ઢાંચો:Reflist	Template:Reflist
ગણપતસિંહ વેસ્તાભાઈ વસાવા	Ganpatsinh Vestabhai Vasava
વિકિપીડિયા:સંદર્ભ	Wikipedia:Citing sources
ઢાંચો:સ્ટબ	Template:Stub
ઢાંચો:See also	Template:See also
ઢાંચો:User de	Template:User de
ઢાંચો:User de-1	Template:User de-1
ઢાંચો:User en-3	Template:User en-3
ઢાંચો:User en-2	Template:User en-2
ઢાંચો:User en-4	Template:User en-4
ઢાંચો:User en	Template:User en
ઢાંચો:User de-2	Template:User de-2
ઘનશ્યામ નાયક	Ghanashyam Nayak
ઘનશ્યામભાઈ ઓઝા	Ghanshyam Oza
ઘારી	Ghari (sweet)
રગડા પેટીસ	Ragda pattice
ઢાંચો:User hi-1	Template:User hi-1
ઢાંચો:User tr	Template:User tr
ઢાંચો:User fr	Template:User fr
ગોલ્ડન બ્રિજ	Golden Bridge
ઢાંચો:Pl icon	Template:Pl icon
શ્રેણી:ફેબ્રુઆરી	Category:February
ઢાંચો:Country data Tajikistan	Template:Country data Tajikistan
શ્રેણી:એશિયા	Category:Asia
શ્રેણી:ચીલી	Category:Chile
ઢાંચો:Country data Kuwait	Template:Country data Kuwait
ઢાંચો:Mod	Template:Mod
શ્રેણી:૧૯૧૦	Category:1910
ઢાંચો:SIL	Template:Infobox language/codelist
ઢાંચો:Infobox football club	Template:Infobox football club
ઢાંચો:સ્વાગત	Template:Welcome
ઢાંચો:Wikipediasister	Template:Wikipedia's sister projects
ઢાંચો:Country data Belgium	Template:Country data Belgium
ઢાંચો:Country data Slovakia	Template:Country data Slovakia
ઢાંચો:Country data Panama	Template:Country data Panama
ઢાંચો:Country flagnavy	Template:Navy/core
ઢાંચો:Country data Ecuador	Template:Country data Ecuador
ઢાંચો:Country data Ethiopia	Template:Country data Ethiopia
ઢાંચો:Country data Tunisia	Template:Country data Tunisia
ઢાંચો:Country data Czech Republic	Template:Country data Czech Republic
ઢાંચો:Country data થાઈલેન્ડ	Template:Country data Thailand
ઢાંચો:Country data Indonesia	Template:Country data Indonesia
ઢાંચો:Country data Cambodia	Template:Country data Cambodia
ઢાંચો:Country data Madagascar	Template:Country data Madagascar
ઢાંચો:Country data Albania	Template:Country data Albania
ઢાંચો:Country data Peru	Template:Country data Peru
ઢાંચો:દેશ માહિતી પૅરાગ્વે	Template:Country data Paraguay
ઢાંચો:Country data British Empire	Template:Country data British Empire
ઢાંચો:Country data Macau	Template:Country data Macau
ઢાંચો:Country data Kenya	Template:Country data Kenya
ઢાંચો:Country data Uzbekistan	Template:Country data Uzbekistan
ઢાંચો:દેશ માહિતી બોલીવિયા	Template:Country data Bolivia
ઢાંચો:Country data Liechtenstein	Template:Country data Liechtenstein
ઢાંચો:Country data Togo	Template:Country data Togo
ઢાંચો:માસ	Template:Months
ઢાંચો:Country data Mali	Template:Country data Mali
ઢાંચો:Country data Moldova	Template:Country data Moldova
ઢાંચો:Country data Latvia	Template:Country data Latvia
ઢાંચો:Football kit	Template:Football kit
ઢાંચો:Country data South African Republic	Template:Country data South African Republic
ઢાંચો:Country data Malta	Template:Country data Malta
ઢાંચો:Country data Monaco	Template:Country data Monaco
ઢાંચો:Country data Denmark	Template:Country data Denmark
ઢાંચો:Country data Iceland	Template:Country data Iceland
ઢાંચો:Country data Poland	Template:Country data Poland
ઢાંચો:Click	Template:Click
ઢાંચો:Country data Bulgaria	Template:Country data Bulgaria
ઢાંચો:Country data Guyana	Template:Country data Guyana
ઢાંચો:Country data Norway	Template:Country data Norway
ઢાંચો:Country data South Africa	Template:Country data South Africa
ઢાંચો:Country data Georgia	Template:Country data Georgia
ઢાંચો:Navbox suite	Template:Navbox suite
ઢાંચો:Country data Uruguay	Template:Country data Uruguay
ઢાંચો:Image label	Template:Image label
ઢાંચો:અધિકૃત જાળસ્થળ	Template:Official website
ઢાંચો:Country data Brunei	Template:Country data Brunei
ઢાંચો:Country data Sri Lanka	Template:Country data Sri Lanka
ઢાંચો:Country data Mexico	Template:Country data Mexico
ઢાંચો:Country data Greece	Template:Country data Greece
ઢાંચો:Country data Luxembourg	Template:Country data Luxembourg
ઢાંચો:Country data Saudi Arabia	Template:Country data Saudi Arabia
ઢાંચો:માહિતીચોકઠું કેન્દ્રીય બેંક	Template:Infobox central bank
ઢાંચો:Country data Croatia	Template:Country data Croatia
ઢાંચો:Country data Iraq	Template:Country data Iraq
ઢાંચો:Stub Category	Template:Stub category
ઢાંચો:Infobox television	Template:Infobox television
ઢાંચો:Apple	Template:Apple
ઢાંચો:Frankfurt Stock Exchange	Template:Frankfurt Stock Exchange
ઢાંચો:ભૌગોલિક સ્થાન	Template:Geographic location
ઢાંચો:માહિતીચોકઠું સંગીત કલાકાર	Template:Infobox musical artist
ઢાંચો:Country data U.S. Virgin Islands	Template:Country data U.S. Virgin Islands
ગિલોટિન (સંસદ)	Guillotine Motion
ઢાંચો:Country data Morocco	Template:Country data Morocco
ઢાંચો:Country data Serbia	Template:Country data Serbia
ઢાંચો:Collapsible list	Template:Collapsible list
ઢાંચો:Country data Australia	Template:Country data Australia
સાયન્સ સીટી	Gujarat Science City
ઢાંચો:Es icon	Template:Es icon
ઢાંચો:Country data France	Template:Country data France
ઢાંચો:Ambox	Template:Ambox
ઢાંચો:Wikipedia category	Template:Wikipedia category
ઢાંચો:Lead too short	Template:Lead too short
ઢાંચો:Dubious	Template:Dubious
ઢાંચો:Hide in print	Template:Hide in print
ઢાંચો:Infobox magazine	Template:Infobox magazine
ઢાંચો:Navigation templates	Template:Navigation templates
ઢાંચો:Infobox school	Template:Infobox school
ઢાંચો:Refimprove	Template:Refimprove
ગુણવંત શાહ	Gunvant Shah
ઢાંચો:User hi-3	Template:User hi-3
ઢાંચો:માહિતીચોકઠું દેશ	Template:Infobox country
ઢાંચો:Infobox Software	Template:Infobox software
ઢાંચો:Column-count	Template:Column-count
ઢાંચો:Country data Laos	Template:Country data Laos
ઢાંચો:Infobox airline	Template:Infobox airline
ઢાંચો:Country data Austria	Template:Country data Austria
ઢાંચો:Str left	Template:Str left
ઢાંચો:Country data Nepal	Template:Country data Nepal
ઢાંચો:Str sub long	Template:Str sub old
ઢાંચો:Documentation/docname	Template:Documentation/docname
ઢાંચો:Country data Finland	Template:Country data Finland
ઢાંચો:Audio	Template:Audio
ઢાંચો:Flat list	Template:Flatlist
ઢાંચો:Country data Egypt	Template:Country data Egypt
ઢાંચો:Country data Lithuania	Template:Country data Lithuania
ઢાંચો:Used in system	Template:Used in system
ઢાંચો:Country data Japan	Template:Country data Japan
ઢાંચો:Country data Netherlands	Template:Country data Netherlands
ઢાંચો:Tmbox	Template:Tmbox
ઢાંચો:Navbox with columns	Template:Navbox with columns
ઢાંચો:S-start	Template:S-start
ઢાંચો:Nom	Template:Nom
ઢાંચો:Facebook	Template:Facebook
ઢાંચો:Cite paper	Template:Cite journal
ઢાંચો:Country data Azerbaijan	Template:Country data Azerbaijan
ઢાંચો:માહિતીચોકઠું કંપની	Template:Infobox company
ઢાંચો:Country data Czechoslovakia	Template:Country data Czechoslovakia
ઢાંચો:Cite news	Template:Cite news
ઢાંચો:Family tree	Template:Family tree
ઢાંચો:Country data Vietnam	Template:Country data Vietnam
ઢાંચો:S-aft	Template:S-aft
ઢાંચો:ઉમદા લેખ	Template:Featured article
ઢાંચો:Country data Libya	Template:Country data Libya
ઢાંચો:Country data Russia	Template:Country data Russia
શ્રેણી:પેરિસ	Category:Paris
શ્રેણી:User en-4	Category:User en-4
શ્રેણી:User en	Category:User en
ઢાંચો:Ordinal	Template:Ordinal
શ્રેણી:User en-2	Category:User en-2
ઢાંચો:Infobox	Template:Infobox
ઢાંચો:માહિતીચોકઠું મંદિર	Template:Infobox Hindu temple
ઢાંચો:Main other	Template:Main other
ઢાંચો:Str crop	Template:Str crop
ઢાંચો:User zh	Template:User zh
ઢાંચો:Limited overs matches	Template:Single-innings cricket match
ઢાંચો:Documentation/start box	Template:Documentation/start box
ઢાંચો:Documentation/end box2	Template:Documentation/end box2
ઢાંચો:Documentation/start box2	Template:Documentation/start box2
ઢાંચો:Template other	Template:Template other
ઢાંચો:Legend	Template:Legend
ઢાંચો:Cite web	Template:Cite web
ઢાંચો:Infobox bridge	Template:Infobox bridge
ઢાંચો:Country data Italy	Template:Country data Italy
ઢાંચો:Ombox	Template:Ombox
ઢાંચો:Country data	Template:Country data
ઢાંચો:વિજયી	Template:Won
હમીરસર	Hamirsar Lake
ઢાંચો:GeoTemplate	Template:GeoTemplate
ઢાંચો:Navbar-collapsible	Template:Navbar-collapsible
ઢાંચો:Coor URL	Template:Coor URL
ઢાંચો:Pp-template	Template:Pp-template
હાંડવો	Handvo
ઢાંચો:Wiktionary	Template:Wiktionary
ઢાંચો:Country data Sweden	Template:Country data Sweden
ઢાંચો:Chem	Template:Chem
ઢાંચો:Language icon	Template:Link language
હરિલાલ ઉપાધ્યાય	Harilal Upadhyay
હરીન્દ્ર દવે	Harindra Dave
શ્રેણી:User hi	Category:User hi
શ્રેણી:હિન્દી ચલચિત્ર	Category:Indian films
ઢાંચો:પુરાતન દુનિયાની સાત અજાયબીઓ	Template:Seven Wonders of the Ancient World
ઢાંચો:Infobox settlement	Template:Infobox settlement
મહીસાગર જિલ્લો	Mahisagar district
ઢાંચો:ITIS	Template:ITIS
ઢાંચો:મહાભારત	Template:Mahabharata
ઉચ્ચતર માધ્યમિક શાળા	Higher Secondary School Certificate
ઢાંચો:Other uses	Template:Other uses
પીઠનો દુખાવો	Back pain
ઢાંચો:Country data Soviet Union	Template:Country data Soviet Union
ઢાંચો:Country data India	Template:Country data India
ઢાંચો:Language with name	Template:Language with name
ઢાંચો:Country data Algeria	Template:Country data Algeria
ઢાંચો:માહિતીચોકઠું નૃવંશ સમુદાય	Template:Infobox ethnic group
ઢાંચો:MONTHNAME	Template:MONTHNAME
ઢાંચો:Category redirect	Template:Category redirect
વિકિપીડિયા:Text of the GNU Free Documentation License	Wikipedia:Text of the GNU Free Documentation License
ઢાંચો:Country data Venezuela	Template:Country data Venezuela
ઢાંચો:Infobox protected area	Template:Infobox protected area
ઢાંચો:Border	Template:Border
ઢાંચો:Country data Portugal	Template:Country data Portugal
ઢાંચો:Country data Ireland	Template:Country data Ireland
ઢાંચો:Translation/Ref	Template:Translation/Ref
ઢાંચો:Top icon	Template:Top icon
શ્રેણી:Country data templates	Category:Country data templates
ઢાંચો:Fmbox	Template:Fmbox
ઢાંચો:Navbox with collapsible groups	Template:Navbox with collapsible groups
ઢાંચો:Country data China	Template:Country data China
ઢાંચો:Country data Benin	Template:Country data Benin
ઢાંચો:Country data ENG	Template:Country data England
ઢાંચો:Family tree/end	Template:Family tree/end
ઢાંચો:Country data Republic of Ireland	Template:Country data Republic of Ireland
ઢાંચો:Country data Turkey	Template:Country data Turkey
ઢાંચો:Country data Cyprus	Template:Country data Cyprus
ઢાંચો:Country data Switzerland	Template:Country data Switzerland
વિકિપીડિયા:મારે સભ્ય શા માટે થવું જોઇએ?	Wikipedia:Why create an account?
ઢાંચો:Country data Philippines	Template:Country data Philippines
ઢાંચો:Country data Nigeria	Template:Country data Nigeria
ઢાંચો:Country data Belarus	Template:Country data Belarus
ઢાંચો:ParmPart	Template:ParmPart
ઢાંચો:Country data Malaysia	Template:Country data Malaysia
ઢાંચો:Country data Armenia	Template:Country data Armenia
ઢાંચો:Country data Zimbabwe	Template:Country data Zimbabwe
ઢાંચો:Country data Timor-Leste	Template:Country data Timor-Leste
ઢાંચો:Country data South Vietnam	Template:Country data South Vietnam
ઢાંચો:Infobox dog breed	Template:Infobox dog breed
ઢાંચો:Country data Myanmar	Template:Country data Myanmar
ઢાંચો:Country data Kazakhstan	Template:Country data Kazakhstan
ઢાંચો:Country data Chile	Template:Country data Chile
ઢાંચો:Country data Slovenia	Template:Country data Slovenia
ઢાંચો:Country data Lebanon	Template:Country data Lebanon
ઢાંચો:માહિતીચોકઠું પુસ્તક	Template:Infobox book
ઢાંચો:Country data Bhutan	Template:Country data Bhutan
ઢાંચો:Tlc	Template:Tlc
ઢાંચો:Country data Ceylon	Template:Country data Ceylon
ઢાંચો:Talkback	Template:Talkback
ઢાંચો:Infobox planet	Template:Infobox planet
શ્રેણી:જાન્યુઆરી	Category:January
ઢાંચો:આવર્ત કોષ્ટક	Template:Periodic table (32 columns, compact)
ઢાંચો:Lang-fa	Template:Lang-fa
હિતેન્દ્ર દેસાઇ	Hitendra Kanaiyalal Desai
ઢાંચો:User nl	Template:User nl
ઢાંચો:માહિતીચોકઠું વેબસાઇટ	Template:Infobox website
ઢાંચો:Image label end	Template:Image label end
ઢાંચો:Uncategorized	Template:Uncategorized
ઈગ્નસ તિર્કિ	Ignace Tirkey
ઢાંચો:Talk header	Template:Talk header
ઢાંચો:Quote box	Template:Quote box
ઢાંચો:Infobox medal templates	Template:Infobox medal templates
ઢાંચો:માહિતીચોકઠું વિશ્વ ધરોહર સ્થળ	Template:Infobox World Heritage Site
ઢાંચો:અંક પદ્ધતિ	Template:Numeral systems
ઢાંચો:Infobox astronaut	Template:Infobox astronaut
ઢાંચો:Geobox coor	Template:Geobox coor
ઢાંચો:Str len	Template:Str len
ઢાંચો:Purge	Template:Purge
ઢાંચો:Infobox sport	Template:Infobox sport
ઢાંચો:MedalSport	Template:MedalSport
ઢાંચો:Lang-de	Template:Lang-de
ઢાંચો:Empty category	Template:Empty category
ઢાંચો:Country data Austria-Hungary	Template:Country data Austria-Hungary
ઢાંચો:Pre2	Template:Pre2
ઢાંચો:Infobox building	Template:Infobox building
ઢાંચો:Lang-el	Template:Lang-el
ઢાંચો:વિષ્ણુ અવતારો	Template:VishnuAvatars
ઢાંચો:NASDAQ	Template:NASDAQ
ઢાંચો:Clarify	Template:Clarify
ઢાંચો:Loremipsum	Template:Lorem ipsum
આઈ ટી સી ગ્રાંડ ચોલા હોટલ	ITC Grand Chola Hotel
મોરબી જિલ્લો	Morbi district
શ્રેણી:ગુજરાતના જિલ્લાઓ	Category:Districts of Gujarat
શ્રેણી:વિયેતનામમાં એરપોર્ટ	Category:Airports in Vietnam
ઢાંચો:Emergency-bot-shutoff	Template:Emergency-bot-shutoff
ઢાંચો:Image label small	Template:Image label small
ઢાંચો:Nihongo	Template:Nihongo
ઢાંચો:Infobox military unit	Template:Infobox military unit
ઘુડખર	Indian wild ass
ઇન્દ્રાયણી એક્સપ્રેસ	Indrayani Express
ઢાંચો:Sec link auto	Template:Sec link auto
ઢાંચો:Align	Template:Align
ઢાંચો:Allcaps	Template:Allcaps
ઢાંચો:S-ttl	Template:S-ttl
ઢાંચો:Helpbox	Template:Helpbox
ઢાંચો:Infobox stadium	Template:Infobox venue
ઢાંચો:IPAEng	Template:IPA-en
શ્રેણી:Fair use images	Category:Fair use images
ઢાંચો:Cmbox	Template:Cmbox
ઢાંચો:Precision	Template:Precision
ઢાંચો:End date	Template:End date
ઢાંચો:Infobox International Football Competition	Template:Infobox international football competition
ઢાંચો:Infobox tennis player	Template:Infobox tennis biography
ઢાંચો:S-bef	Template:S-bef
ઢાંચો:Cite conference	Template:Cite conference
ઢાંચો:Infobox political post	Template:Infobox official post
શ્રેણી:ભારતના રાષ્ટ્રપતિ	Category:Presidents of India
ઢાંચો:S-par	Template:S-par
ઢાંચો:Infobox UK place	Template:Infobox UK place
